alpha,y_window,n,p_rel_l2,q_rel_l2,p_max_abs_err,q_max_abs_err,p_rmse,q_rmse,p_error_energy_fraction,q_error_energy_fraction,qdef_reference_rel_l2,qdef_prediction_rel_l2,dp_pred_vs_q_ref_rel_l2
0.1,5.0,3289,0.0003656711508469576,0.0011123065962011479,0.0002567947873236332,0.0001008360259032006,0.00011154689410441874,4.189883400277168e-05,4.163337571639485e-05,0.0009881479627538898,0.0,0.0038214150482938627,0.004027954801881527
0.1,10.0,3807,0.00036005050262495934,0.001029712965797308,0.0002567947873236332,0.0001008360259032006,0.0001087745270598757,4.04110665772133e-05,4.582474656833139e-05,0.001063990461367559,0.0,0.0034763216166416476,0.0036458568282223217
0.1,20.0,4101,0.00041522036679025035,0.001076591074584729,0.000585817034723071,0.00016233863834914223,0.00012417798471991092,4.282558534421173e-05,6.433418027588349e-05,0.0012872135901257906,0.0,0.0033773524154004295,0.003546271051305828
0.1,50.0,4290,0.0006319493068042164,0.0012360910154427275,0.0026401509674631907,0.0004084665028502389,0.0001868941520114035,4.9308838962685866e-05,0.00015244441023275738,0.001785093946310905,0.0,0.0035374528898568193,0.0036893562070164482
0.1,100.0,4354,0.000712003438410402,0.001385840979871576,0.002972348819890248,0.0006572887353743617,0.00020942959711278263,5.5166786175725215e-05,0.00019427965643747144,0.0022677648777955878,0.0,0.003682400902052641,0.0037605439670033458
0.1,500.0,4407,0.0030841100378975446,0.00307222519839889,0.04736341885681368,0.004498763511327971,0.0009021694636725073,0.00012164807542455954,0.00364906907489141,0.011161119730636576,0.0,0.004633621593427193,0.0037977043709295968
0.1,2000.0,4418,0.00331928301249212,0.003103454458595026,0.04736341885681368,0.004498763511327971,0.0009697538690291523,0.0001227315569555912,0.00422679846539165,0.011389179311401704,0.0,0.004656887894892287,0.003798851872391319
0.1025,5.0,3289,0.0003434677742989068,0.0010160078842550641,0.00025518360457603846,9.100268083477414e-05,0.00010471965043093269,3.9270067753751816e-05,3.669298375990583e-05,0.0008680433339822593,0.0,0.0039140266589114195,0.004089558279679633
0.1025,10.0,3807,0.0003431466663960321,0.0009601284333843219,0.00025518360457603846,9.100268083477414e-05,0.00010358195813935484,3.8658054463235044e-05,4.155410166078721e-05,0.000973681897322058,0.0,0.003557605318864487,0.0036997677190135966
0.1025,20.0,4101,0.0003844404557697192,0.000990953102687098,0.0005037691911841976,0.0001422745281403995,0.00011484621170422807,4.043728750281052e-05,5.5028275800130024e-05,0.001147646225341913,0.0,0.0034563777890792894,0.0035741848337155595
0.1025,50.0,4290,0.0006136143402336902,0.0011963995239458632,0.002334169902199082,0.0004353184347942171,0.0001812370782085581,4.89522238677483e-05,0.0001433554419781447,0.001759366735603839,0.0,0.0035882235271541686,0.0036665054571952613
0.1025,100.0,4354,0.0006980367600232753,0.0013610221552241833,0.002706223070275365,0.0008223841864342892,0.0002050483102905311,5.556745498641418e-05,0.00018623598570878503,0.0023008254318233217,0.0,0.0037258623626700233,0.0037412388179981506
0.1025,500.0,4407,0.0027656848738274765,0.002846358816987688,0.03945782425896387,0.004840933209683213,0.0008079376561844752,0.0001155895642701771,0.0029265876683787478,0.010077076033852593,0.0,0.004506848348504534,0.0037818894119764214
0.1025,2000.0,4418,0.0029982031485411803,0.0028893406651075686,0.03945782425896387,0.004840933209683213,0.0008747725997080691,0.00011718887921843112,0.0034393695475390335,0.010383714643471856,0.0,0.00452996670894331,0.003782969414540613
0.105,5.0,3289,0.00027892020791147216,0.0007926001268516689,0.00017218844347418276,6.0132726325751415e-05,8.499477702915713e-05,3.141544285296779e-05,2.4171919481339794e-05,0.0005555261122669074,0.0,0.004202528840533635,0.004298926600680994
0.105,10.0,3807,0.00029974495587158957,0.0007520737876149643,0.00021356341317864584,6.0132726325751415e-05,9.04049557668208e-05,3.104827377360854e-05,3.165411242195707e-05,0.0006280757519221857,0.0,0.0038127441730648744,0.003888851286880927
0.105,20.0,4101,0.0003342935600455211,0.0007592168485176378,0.0006201676570800703,0.00011618799580555664,9.975507669660405e-05,3.1762414444275385e-05,4.151667559959749e-05,0.0007080615598043818,0.0,0.003712372465527188,0.003750755144466363
0.105,50.0,4290,0.0005260226273258511,0.0009846165581449769,0.0016408187002096572,0.0004082846478004338,0.0001551657959709646,4.1298170484980506e-05,0.00010507806506581294,0.0012521984141426116,0.0,0.003841098767105656,0.0038204869458960716
0.105,100.0,4354,0.0006378476857534384,0.0011942630528708463,0.003370883552708481,0.000824471877973291,0.00018712005573868484,4.997970428118418e-05,0.00015509288997216865,0.0018613584738656553,0.0,0.0039695803218027705,0.003886109689424105
