alpha,Mach,best_status,y,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,p_real,p_imag
0.1,1.8,validated,-40.72210959887276,-0.5679132123655501,-0.1353662516934976,-0.12179746377184639,-0.02298234695940239,0.2911198806644109,0.07188810386846152,-0.17528185566837962,-0.04177970731280789
0.1,1.8,validated,-40.388509918678146,-0.5795599284958303,-0.08961325777068493,-0.12380617038266217,-0.013162464780306433,0.29729208946598745,0.04843759369975695,-0.1788765211406883,-0.027658412892186693
0.1,1.8,validated,-40.060156574561475,-0.5874253223171342,-0.04360350900637048,-0.12501041216811612,-0.0033262449609764632,0.30152325985434775,0.02483947746462647,-0.18130411182627593,-0.013457873150114354
0.1,1.8,validated,-39.736926649897825,-0.5916016978575438,0.0023580508189435913,-0.12543283677032466,0.006462575619349413,0.303859530679177,0.0012507599896240571,-0.18259311662269873,0.0007277934626369196
0.1,1.8,validated,-39.4187010379465,-0.5922015261884462,0.047987189225010655,-0.1251001597662668,0.016144855429619687,0.3043574848759604,-0.022182107408230966,-0.18277824882359453,0.014810860871916857
0.1,1.8,validated,-39.105364295373704,-0.5893546310695204,0.09302081615680698,-0.12404256350316327,0.025666111347678208,0.3030827057926343,-0.045323460061029455,-0.1818995774905927,0.02871012844345892
0.1,1.8,validated,-38.79680450248143,-0.5832055398167376,0.13721715460382541,-0.1222931335970148,0.034976528142676516,0.30010841729158066,-0.06804851860492274,-0.1800017098199807,0.042350973643155994
0.1,1.8,validated,-38.49291312978689,-0.5739109932268005,0.18035574382305244,-0.1198873308481854,0.044030934062052864,0.2955142048472398,-0.0902434009975559,-0.17713302260086433,0.05566535303180631
0.1,1.8,validated,-38.193584910618824,-0.5616376232092938,0.22223720122512555,-0.11686250115386108,0.0527887269302549,0.2893848217749917,-0.11180500988576166,-0.1733449454349672,0.06859172877318691
0.1,1.8,validated,-37.89871771941636,-0.546559812554114,0.2626828024512196,-0.11325742587697625,0.061213763528182606,0.2818090882490939,-0.1326408258371403,-0.16869130017102285,0.08107493902815419
0.1,1.8,validated,-37.60821245543481,-0.5288577052188712,0.30153398764514655,-0.10911190487864782,0.06927423483842717,0.2728788673213324,-0.1526686620387407,-0.16322768679594787,0.09306604556948966
0.1,1.8,validated,-37.32197293157999,-0.5087154012524685,0.3386516891547723,-0.10446638050478435,0.07694250528321946,0.26268813502668187,-0.17181632651257323,-0.15701092631249028,0.1045221262823371
0.1,1.8,validated,-37.039905768109826,-0.48631932505890463,0.3739155676494014,-0.09936159925471494,0.08419493428785726,0.2513321391362925,-0.1900212365717544,-0.15009855711694586,0.11540603939796341
0.1,1.8,validated,-36.76192029095517,-0.4618567604942728,0.4072231778729115,-0.09383830953807577,0.09101168460395194,0.23890664330406688,-0.20722999644295298,-0.14254838286860272,0.1256861660101579
0.1,1.8,validated,-36.48792843442875,-0.43551453548202745,0.4384890934370969,-0.08793699155174915,0.0973765234535708,0.2255072478361507,-0.22339795322947548,-0.13441806650679858,0.13533613994972127
0.1,1.8,validated,-36.217844648102115,-0.4074778122182569,0.4676440323724469,-0.08169760954086117,0.10327662489820294,0.21122876469514834,-0.23848875282397106,-0.1257647568574867,0.14433457789273052
0.1,1.8,validated,-35.95158580764352,-0.37792910366565935,0.49463385295639634,-0.07515941335457589,0.10870234697910207,0.19616470818758325,-0.25247382825330905,-0.11664478508199361,0.15266476943098653
0.1,1.8,validated,-35.689071129422224,-0.3470473333776016,0.519418638882955,-0.06836074829014346,0.11364702824030228,0.18040680827769165,-0.26533193372933706,-0.10711337449925976,0.1603143947169614
0.1,1.8,validated,-35.43022208869447,-0.3150070521278951,0.5419717319750412,-0.06133889871827502,0.11810677470778601,0.16404460421915756,-0.2770486511047742,-0.09722439880490588,0.16727522591822255
0.1,1.8,validated,-35.1749623411972,-0.28197777968323035,0.5622787641386482,-0.05412995825423826,0.1220802479691368,0.14716510245761558,-0.28761589541894333,-0.08703017891457726,0.1735428284378544
0.1,1.8,validated,-34.92321764798498,-0.24812345510581715,0.5803367057577776,-0.04676872277845191,0.1255684578334969,0.12985249034324897,-0.29703142843593244,-0.07658131330426456,0.17911626720919058
0.1,1.8,validated,-34.674915803354985,-0.2136019862589376,0.5961529372458372,-0.039288604260924676,0.1285745609019735,0.11218790089088444,-0.30529838366321976,-0.0659265389688079,0.18399782013760405
0.1,1.8,validated,-34.42998656571241,-0.17856487572958882,0.6097443540439629,-0.03172156045380325,0.1311036670010638,0.09424921692748599,-0.3124248082308131,-0.05511261596592247,0.18819270186542064
