Mach,alpha,cr,ci,omega_i,ln_p_start_right_exact,max_y_limit_used,y,p_real,p_imag,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,setting,source,validation_status
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-37.45324597395771,-0.010370864971353672,-0.2504058923082616,-0.03360160250718586,-0.8113150910787675,-0.009933132529866448,-0.17147463467845994,0.016098739785665214,0.416849958445835,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-36.341777162953726,-0.09327583850653597,-0.23437589008256024,-0.30221371676117653,-0.7593778838674952,-0.06656317746900794,-0.15955421903585618,0.1541689416355164,0.39055319734531596,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-35.29373927165513,-0.16289818475962256,-0.19463130015424604,-0.5277901186211772,-0.6306054124997572,-0.1138235678200137,-0.13153320946906255,0.27024034842398426,0.32472167218046605,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-34.3038524499451,-0.21444152764354454,-0.13849931030476934,-0.6947905495650843,-0.4487377653874525,-0.14851027214783946,-0.09248673140060439,0.35629532120773516,0.23152923258910493,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-33.36740700498856,-0.246019762558005,-0.07320596392213567,-0.7971040306879362,-0.23718732310771962,-0.16941239318379034,-0.04738775097573556,0.40916085140303987,0.12299489666085246,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-32.48018846209968,-0.2579643468481926,-0.005138816793464522,-0.8358044837881441,-0.01664976641082506,-0.1768291629330294,-0.0006096264647932106,0.4293589689153559,0.009752320800685272,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-31.63841414249249,-0.2521264086101024,0.06052179089237293,-0.816889563896732,0.19609060249128835,-0.17208754777194601,0.04431868671645803,0.4199468124628614,-0.09956719276410064,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-30.838679244544096,-0.23126589256363272,0.11991015385031117,-0.7493014919061702,0.3885088984750082,-0.15712244558266475,0.08477935053122293,0.38550035922404613,-0.19851633449775463,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-30.07791080765155,-0.19856469629894308,0.17041388296483398,-0.6433496160085754,0.5521409808060621,-0.1341437524432927,0.1190181299311999,0.33130375292557607,-0.28273198464972904,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-29.35332824621201,-0.1572680795424119,0.21051899033648352,-0.5095485777174147,0.6820815286902067,-0.10539238541300844,0.14603418914158456,0.26275170803142994,-0.34967902293655834,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-28.662409385197325,-0.11044122268879149,0.23961310899897698,-0.35782956151168455,0.7763464731566856,-0.07297568439272926,0.16544249929817606,0.18494338587381445,-0.3983239181002624,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
