mode_index,alpha,Mach,accepted,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,N
139,0.2,1.725,False,0.7393760246662825,0.005939927763029379,0.001187985552605876,0.025107698752535396,target_then_overlap,561
140,0.21,1.725,False,0.7394084662945822,0.006299874824260201,0.0013229737130946422,0.025411539720692464,target_then_overlap,561
141,0.22,1.725,False,0.7394483355506789,0.006826364871458216,0.0015018002717208075,0.025913849948180096,target_then_overlap,561
142,0.23,1.725,False,0.7395042240537191,0.007602805023307488,0.0017486451553607222,0.026715704220341006,target_then_overlap,561
143,0.24,1.725,False,0.7396156813783616,0.008881065661560385,0.0021314557587744924,0.028187171774512913,target_then_overlap,561
144,0.25,1.725,False,0.6450905638505312,0.009685021387913467,0.002421255346978367,0.17278000683626016,target_then_overlap,561
145,0.26,1.725,False,0.5868178561591076,0.009970608620304678,0.0025923582412792166,0.11472566256493169,target_then_overlap,561
146,0.27,1.725,False,0.5375799144956287,0.009718242244351616,0.0026239254059749364,0.06413455580716923,target_then_overlap,561
147,0.28,1.725,False,0.4978308011984062,0.009421194669832322,0.0026379345075530506,0.0268736752826645,target_then_overlap,561
148,0.29,1.725,True,0.4779527918073768,0.009456472652658587,0.0027423770692709903,0.0192639519748557,target_then_overlap,561
149,0.3,1.725,False,0.5793437049430026,0.01142352926867457,0.003427058780602371,0.1835854042374614,target_then_overlap,561
150,0.01,1.75,True,0.7575722812915808,0.004171251104423612,4.171251104423612e-05,0.008838612678605353,nearest_to_target,561
151,0.02,1.75,True,0.7485376195703968,0.004475205285007884,8.950410570015768e-05,0.015358625630175109,target_then_overlap,561
152,0.03,1.75,False,0.7394418339354714,0.0048933493997327,0.00014680048199198099,0.024460569673369674,target_then_overlap,561
153,0.04,1.75,False,0.7394950751962236,0.005278107809212015,0.0002111243123684806,0.02477902515026579,target_then_overlap,561
154,0.05,1.75,False,0.7395935160691938,0.0058519137232400835,0.0002925956861620042,0.025199294176230548,target_then_overlap,561
155,0.06,1.75,False,0.7398149569354722,0.006731586684544892,0.00040389520107269347,0.025502319045052693,target_then_overlap,561
156,0.07,1.75,False,0.7406160577175896,0.00815156185027917,0.000570609329519542,0.026467342319340843,target_then_overlap,561
157,0.08,1.75,False,0.7335798781816271,0.008353768492174606,0.0006683014793739685,0.03251584517909005,target_then_overlap,561
158,0.09,1.75,False,0.734185964882097,0.007886237531190894,0.0007097613778071804,0.031520126015373705,target_then_overlap,561
159,0.1,1.75,False,0.7343461628678131,0.008181505279200313,0.0008181505279200313,0.03170529438602972,target_then_overlap,561
160,0.11,1.75,False,0.7340528944279693,0.010210853581572076,0.0011231938939729284,0.03418526202324464,target_then_overlap,561
161,0.12,1.75,False,0.7393150810295355,0.008177800263564756,0.0009813360316277707,0.027536715681944796,target_then_overlap,561
162,0.13,1.75,False,0.7392573670466477,0.00691754953897234,0.0008992814400664043,0.026172184325850185,target_then_overlap,561
163,0.14,1.75,False,0.7392590415225231,0.006271418569709461,0.0008779985997593246,0.02552955367270106,target_then_overlap,561
164,0.15,1.75,False,0.7392722614915586,0.005895736323598985,0.0008843604485398477,0.025142537521576677,target_then_overlap,561
165,0.16,1.75,False,0.7392901037306693,0.005691530708120162,0.0009106449132992259,0.02493850300119601,target_then_overlap,561
166,0.17,1.75,False,0.7393109149967969,0.005618671795146342,0.0009551742051748783,0.024868647171204274,target_then_overlap,561
167,0.18,1.75,False,0.7393343829291814,0.005660715475556728,0.001018928785600211,0.024885794123023407,target_then_overlap,561
168,0.19,1.75,False,0.7393607858253755,0.005814844849511518,0.0011048205214071883,0.02498890639822618,target_then_overlap,561
169,0.2,1.75,False,0.7393909667314328,0.0060897096412355,0.0012179419282471,0.025237536465139713,target_then_overlap,561
170,0.21,1.75,False,0.7394268209771863,0.006508612204233239,0.0013668085628889802,0.025604485094036542,target_then_overlap,561
171,0.22,1.75,False,0.6445470718694467,0.007861283448367545,0.00172948235864086,0.17172246510484915,target_then_overlap,561
172,0.23,1.75,False,0.5860044077373964,0.008652532492099798,0.0019900824731829535,0.11175327353193112,target_then_overlap,561
