alpha,Mach,rank_cr,candidate_cr,candidate_ci,y,p_real,p_imag,p_abs,rho_real,rho_imag,rho_abs
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.978328286318154,0.3444484506555779,-0.0022824631964937846,0.3444560128627041,0.5599440125969737,-0.0037104292338002026,0.5599563059099333
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.950384966554211,0.34107545804190076,-0.0023084121671044155,0.34108326966479263,0.5544607914793649,-0.003752612529149103,0.5544734902488285
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.9228826168130784,0.33778744479472295,-0.0023331798062374287,0.3377955026180133,0.5491157149444215,-0.00379287542251473,0.5491288139434078
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.895810677335356,0.3344944045882734,-0.0023583835808388817,0.3345027184851834,0.5437624664588119,-0.0038338473086012015,0.5437759817374762
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.8691589220265508,0.3312853707975139,-0.0023824177249224332,0.3312939371897142,0.5385457809027085,-0.0038729178140770267,0.5385597066440292
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.84291744537741,0.32807055694988124,-0.002406898880479017,0.328079385971789,0.5333196991416508,-0.00391271499257869,0.5333340518203896
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.8170766499947084,0.3249387599513612,-0.00243022217858894,0.32494784765953694,0.5282285716459314,-0.003950629929068674,0.5282433448515347
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.791627234709495,0.3218004234637329,-0.002454003057558065,0.3218097802622604,0.5231268133932306,-0.003989288720442835,0.5231420240388369
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.7665601832318725,0.31874410477499937,-0.0024766378575470155,0.31875372635295296,0.5181583853248583,-0.004026084417174857,0.5181740264025191
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.7418667533231966,0.3156804863759716,-0.002499740473722718,0.31569038341546923,0.5131780906649388,-0.004063640607595488,0.5131941795397721
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.717538466458376,0.3126978831522074,-0.002521708740197388,0.3127080509722159,0.5083294962993072,-0.004099352770783373,0.5083460253617085
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.6935670979526063,0.30970722372580417,-0.002544154704849424,0.30971767329474037,0.5034678055692605,-0.004135841492070812,0.5034847926497624
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.6699446675283522,0.3067965781553576,-0.002565477955498238,0.3068073044192015,0.49873618736380315,-0.004170505101406838,0.4987536242464644
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.6466634302998617,0.30387712727325267,-0.00258728842036672,0.30388814149488425,0.49399025502358135,-0.004205960738358663,0.49400816001762116
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.62371586815379,0.3010366942377015,-0.002607987677519182,0.30104799098696783,0.4893727760701635,-0.00423960996826711,0.4893911403481896
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.601094681505797,0.29818671709459826,-0.0026291832917874733,0.2981983079369093,0.4847397819769063,-0.0042740660887120065,0.48475862433993827
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.5787927814141125,0.2954147703672915,-0.0026492790465585665,0.29542664949294284,0.48023363607832825,-0.004306734250061811,0.4802529470819652
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.556803282032156,0.2926325533716493,-0.002669879925393966,0.29264473265655605,0.47571079457478727,-0.004340223553718545,0.47573059352481384
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.5351194933833496,0.28992739058659234,-0.0026893921122489997,0.28993986383780324,0.47131321432232903,-0.004371943052474738,0.4713334911513287
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.5137349144421615,0.287211245820308,-0.0027094178148849655,0.2872240252321331,0.4668977814866382,-0.004404497335322368,0.4669185560179863
