benchmark_id,atlas_chart,Mach,alpha,shoot_stage1_mismatch,shoot_stage2_mismatch,stage1_fraction_of_nominal,stage2_fraction_of_nominal,critical_common_multiplier
23,C02,1.054,0.25925,2.6317853437441417e-07,2.9366317086346776e-20,5.263570687488283e-06,2.9366317086346776e-18,5.263570687488283e-06
24,C02,1.054,0.27475,4.241634215193597e-06,3.392791799452203e-20,8.483268430387194e-05,3.3927917994522033e-18,8.483268430387194e-05
25,C02,1.054,0.29025,8.769127356391492e-07,3.642202837334469e-20,1.7538254712782984e-05,3.642202837334469e-18,1.7538254712782984e-05
26,C02,1.054,0.3057499999999999,9.99709001668724e-07,3.987877343579413e-20,1.9994180033374478e-05,3.987877343579413e-18,1.9994180033374478e-05
27,C02,1.054,0.32125,2.130929798606083e-06,4.300420895094056e-20,4.261859597212166e-05,4.300420895094056e-18,4.261859597212166e-05
28,C02,1.054,0.33675,2.4356209929196685e-06,4.539561039819599e-20,4.871241985839337e-05,4.539561039819599e-18,4.871241985839337e-05
29,C02,1.054,0.3522499999999999,8.667729515895732e-07,3.876062448686861e-20,1.7335459031791462e-05,3.876062448686861e-18,1.7335459031791462e-05
30,C02,1.09,0.21275,9.590059316707303e-07,9.281105183188316e-21,1.9180118633414605e-05,9.281105183188316e-19,1.9180118633414605e-05
31,C02,1.09,0.2282499999999999,9.627847853006163e-07,1.3168069180296731e-20,1.9255695706012325e-05,1.3168069180296731e-18,1.9255695706012325e-05
32,C02,1.09,0.24375,1.1987900373760714e-06,1.707503402365208e-20,2.3975800747521428e-05,1.7075034023652081e-18,2.3975800747521428e-05
33,C02,1.09,0.25925,2.0575403865791697e-06,2.0566477612645094e-20,4.115080773158339e-05,2.0566477612645093e-18,4.115080773158339e-05
34,C02,1.09,0.27475,1.3476443169288742e-06,2.457047607175218e-20,2.6952886338577483e-05,2.457047607175218e-18,2.6952886338577483e-05
35,C02,1.09,0.29025,3.410450917014273e-06,2.795258358562714e-20,6.820901834028545e-05,2.7952583585627143e-18,6.820901834028545e-05
36,C02,1.09,0.3057499999999999,2.434565136825756e-06,3.1506806996982623e-20,4.8691302736515115e-05,3.1506806996982623e-18,4.8691302736515115e-05
