condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,t401_row,test_id
generic,385,C31,1.9,0.15,11,generic,0,0.1,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.29876302083333345,2.6767008463541675e-05,0.04195795185666116,7.099748146989106e-28,0.04195795185666116,True,True,True,0.19876303432445178,41.63275136298034,385,385
generic,386,C31,1.9,0.16,0,generic,2,0.9,0.0001,0.015,0.008,COMPLETED,,1,0.02625,0.014,0.8475512695312502,0.00036222775607638885,0.048909458840588914,1.931618043496487e-19,0.048909458840588914,True,True,True,0.052449385994305285,92.50717010104563,386,386
generic,386,C31,1.9,0.16,1,generic,3,0.1,0.002,0.015,0.015,COMPLETED,,3,0.08039062500000001,0.08039062500000001,0.2602055358886718,3.9941289171760446e-05,0.054741064447048,2.3003183996244704e-25,0.054741064447048,False,True,False,0.16021752575647397,172.71009736903943,386,386
generic,386,C31,1.9,0.16,2,generic,4,0.5,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.49840820312499995,0.013318977864583333,3.7355843702671886e-06,9.206386127138529e-21,3.735584370267198e-06,True,True,True,0.011430357701760142,40.75684949895367,386,386
generic,386,C31,1.9,0.16,3,generic,5,0.9,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.8400585937499998,0.0003738613281249999,0.03674559421934103,1.8999892260977643e-19,0.03674559421934103,True,True,True,0.059963459791841006,44.909146621939726,386,386
generic,386,C31,1.9,0.16,4,generic,0,0.1,0.0001,0.03,0.015,COMPLETED,,2,0.091875,0.0459375,0.283092041015625,2.282077478479456e-05,0.04964871777726076,2.17378511042702e-26,0.04964871777726076,True,True,True,0.18309205728239583,133.70634204091039,386,386
generic,386,C31,1.9,0.16,5,generic,1,0.5,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.49841796874999994,0.013332421874999997,1.4945980858310568e-06,9.20502264732817e-21,1.494598085831066e-06,True,True,True,0.013326657928901574,39.67859558202326,386,386
generic,386,C31,1.9,0.16,6,generic,2,0.9,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.7944921875,1.1067606608072916e-06,0.001079517168379026,1.3069383361561983e-09,0.0010795184753173623,True,True,True,0.10550785884666582,46.120962681947276,386,386
generic,386,C31,1.9,0.16,7,generic,3,0.1,0.002,0.06,0.015,COMPLETED,,1,0.105,0.02625,0.30729980468750007,0.00015264546260127315,0.0464943058143164,1.863257903695821e-25,0.0464943058143164,True,True,True,0.2073080358844358,83.40156823711004,386,386
generic,386,C31,1.9,0.16,8,generic,4,0.5,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.49839843749999996,0.013318977864583333,6.1879075564851775e-06,9.207408803260613e-21,6.187907556485187e-06,True,True,True,0.011431721757475286,34.05196634295862,386,386
generic,386,C31,1.9,0.16,9,generic,5,0.9,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.7614583333333332,1e-06,4.314601897222569e-08,2.506746232942963e-19,4.314601897247636e-08,True,True,True,0.13855608757386956,26.75285231799353,386,386
generic,386,C31,1.9,0.16,10,generic,0,0.1,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.2998046875000002,0.00015343977864583336,0.04784079431483376,2.2075562457795316e-25,0.04784079431483376,True,True,True,0.19980469464650397,39.43030928703956,386,386
generic,386,C31,1.9,0.16,11,generic,1,0.5,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.49837239583333326,0.013332421875000004,1.3390865031951921e-05,9.203318439560185e-21,1.339086503195193e-05,True,True,True,0.013332144763740362,35.636125524993986,386,386
generic,387,C31,1.9,0.18,0,generic,3,0.1,0.002,0.015,0.008,COMPLETED,,3,0.08039062500000001,0.042875,0.2606242370605468,4.7801249186197906e-05,0.06808859132222339,1.5461673742331831e-28,0.06808859132222339,False,True,False,0.16063609996275874,162.1438864460215,387,387
