script,line,literal,suffix,exists,status
code/scripts/audits/audit_pinn_supersonic_fixedM_core_windows.py,286,modal_error_by_y_window.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_pinn_supersonic_fixedM_core_windows.py,346,modal_error_by_alpha_y_window.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_pinn_supersonic_fixedM_core_windows.py,422,modal_error_edge_alpha_core.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_pinn_supersonic_fixedM_predictions.py,21,modal_predictions_all_rows.npz,.npz,,BASENAME_FRAGMENT
code/scripts/audits/audit_pinn_supersonic_fixedM_predictions.py,22,spectral_predictions.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_pinn_supersonic_fixedM_predictions.py,54,modal_error_by_alpha.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_gep_supersonic_local.py,283,_growth_map.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_gep_supersonic_local.py,28,*.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_gep_validity_frontier.py,124,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_gep_validity_frontier.py,125,_frontier.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_mstab17_supersonic_local.py,262,_growth_map.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_mstab17_supersonic_local.py,27,*.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_M18_M19_strict_modal_validation.py,512,_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_M18_M19_strict_modal_validation.py,524,all_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_M18_M19_strict_modal_validation.py,527,strict_auto_validated_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_M18_M19_strict_modal_validation.py,517,_accepted_fields.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_M18_M19_strict_modal_validation.py,542,summary.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_M18_M19_strict_modal_validation_14e1027f3b.py,512,_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_M18_M19_strict_modal_validation_14e1027f3b.py,524,all_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_M18_M19_strict_modal_validation_14e1027f3b.py,527,strict_auto_validated_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_M18_M19_strict_modal_validation_14e1027f3b.py,517,_accepted_fields.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_M18_M19_strict_modal_validation_14e1027f3b.py,542,summary.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_target_campaign.py,107,_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_target_campaign.py,119,all_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_target_campaign.py,125,campaign_near_valid_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_target_campaign.py,112,_accepted_fields.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_target_campaign.py,134,summary.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_target_campaign_3895a18fd6.py,107,_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_target_campaign_3895a18fd6.py,119,all_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_target_campaign_3895a18fd6.py,125,campaign_near_valid_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_target_campaign_3895a18fd6.py,112,_accepted_fields.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_scan_supersonic_target_campaign_3895a18fd6.py,134,summary.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_blumen_cr_uncertainty.py,422,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_blumen_cr_uncertainty.py,423,_support_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_blumen_cr_uncertainty.py,424,_samples.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_blumen_cr_uncertainty.py,49,supersonic_shooting_multistart_a020_m120_130_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_blumen_eigenconditions.py,32,supersonic_shooting_multistart_a020_m120_130_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_blumen_eigenconditions.py,771,_point_audit.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_blumen_eigenconditions.py,772,_map_grid.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_blumen_eigenconditions.py,773,_map_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_blumen_local_reference.py,282,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_blumen_local_reference.py,283,_anchors.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_blumen_local_reference.py,284,_local_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_cluster_families.py,323,_families.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_cluster_families.py,324,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_cluster_families.py,101,_clusters.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_cluster_families.py,102,_matches.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,26,supersonic_cr_digitized_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,27,supersonic_cr_digitized_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,30,supersonic_ci_digitized_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,31,supersonic_ci_digitized_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,413,_targets.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,414,_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,415,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,389,supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,390,supersonic_shooting_vs_gep_families_a020_m120_130_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,391,supersonic_local_mode_families_a020_m120_130_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,392,supersonic_cluster_family_audit_a020_m120_130_families.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,393,supersonic_family_clustering_a020_m120_130_clusters.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,394,supersonic_branch_beam_search_a020_m120_130_surface.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_families_against_blumen.py,395,supersonic_branch_continuation_blumen_a020_m120_130_surface.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_gep_nearest_candidates.py,14,assets/classic_supersonic/csv/modal_reconstruction/dense_kappa_q_campaign_v1_FINAL_FULL_BRANCH_ASSETS/table_classical_supersonic_final_reference.csv,.csv,yes,EXISTS
code/scripts/audits/audit_supersonic_gep_nearest_candidates.py,17,assets/pinn_supersonic/hybrid_gep/local_M150_S4M0_v1/classic_seeded/nearest_candidate_resolution_audit.csv,.csv,no,MISSING_STATIC_LITERAL_REVIEW
code/scripts/audits/audit_supersonic_shooting_ci_alpha_continuation.py,1103,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_ci_alpha_continuation.py,1104,_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_ci_alpha_continuation.py,1105,_fields.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_ci_alpha_lines.py,229,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_ci_alpha_lines.py,230,_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_ci_map.py,407,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_ci_map.py,408,_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_complex_stitch.py,968,shooting_complex_stitch_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_complex_stitch.py,1027,shooting_complex_stitch_report.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_mode_structure.py,24,supersonic_shooting_ci_map_a020_m120_130_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_mode_structure.py,421,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_mode_structure.py,422,_profiles.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_point_batch.py,1046,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_point_batch.py,1047,_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_supersonic_shooting_point_batch.py,1048,_fields.csv,.csv,,BASENAME_FRAGMENT
