median_delta_e,fraction_physics_better
-7.765883814764285e-07,0.5379146919431279
-7.507535537548682e-07,0.5677083333333334
-3.397772994802317e-06,0.6639344262295082
-1.94617151034332e-06,0.6183206106870229
-1.2190799987543688e-06,0.6041131105398457
-3.381402922365828e-06,0.6658536585365854
-3.104075556759067e-06,0.6571428571428571
-1.94617151034332e-06,0.5793450881612091
-3.4425223779735448e-06,0.6184971098265896
-1.6893757202735005e-06,0.5911949685534591
-7.621137884106233e-07,0.5963302752293578
-1.1061226799329027e-06,0.5707434052757794
-8.55116844278303e-08,0.5013477088948787
-2.4702184122371573e-06,0.6260387811634349
-3.62023712185966e-06,0.6935064935064935
-1.024468066906925e-06,0.5843373493975904
-6.942477507787884e-06,0.6936936936936937
-2.521173593228454e-06,0.6296296296296297
-1.6112182835703592e-06,0.5839793281653747
-3.147700892158767e-07,0.521613832853026
-1.3673114909185102e-06,0.596875
-6.942477507787884e-06,0.6961722488038278
-2.6239727179203087e-06,0.6818181818181818
-3.381402922365828e-06,0.671875
-1.463388962646972e-06,0.5846994535519126
-2.9494674569016666e-07,0.517948717948718
-4.314684885788761e-06,0.7006109979633401
-3.62023712185966e-06,0.6784869976359338
-3.72870090781241e-06,0.6601307189542484
-1.4625215390973167e-06,0.6124661246612466
-1.925311444828104e-06,0.6318082788671024
-2.318958635861082e-06,0.6398809523809523
-2.608279653926182e-07,0.5157593123209169
-2.6239727179203087e-06,0.6319148936170212
-2.6239727179203087e-06,0.6378504672897196
-2.5784325986787093e-06,0.649746192893401
-1.6353356442067035e-06,0.5758426966292135
-2.608279653926182e-07,0.5214007782101168
-1.9950040431315763e-06,0.6065217391304348
-1.905853242112343e-06,0.5941176470588235
-4.879333042689948e-06,0.7296511627906976
-1.6893757202735005e-06,0.5835411471321695
-3.6524703720952623e-06,0.6816976127320955
-1.7720755353112239e-06,0.6096938775510204
-9.973272352414853e-07,0.5809018567639257
-3.416724096982904e-06,0.6986666666666667
-2.6506887873447432e-06,0.6450704225352113
-3.5873632983074444e-06,0.6681034482758621
-9.523714760706348e-07,0.5471204188481675
-3.416724096982904e-06,0.6356164383561644
-7.765883814764285e-07,0.5526315789473685
-3.3788218926217306e-06,0.6537467700258398
-4.257250318384642e-06,0.6403326403326404
-4.559138036375199e-06,0.6515837104072398
-3.3788218926217306e-06,0.681704260651629
-1.244723297197381e-06,0.6122448979591837
-2.2813841975277693e-06,0.5922077922077922
