path,size_KiB,argparse_flags,mentions_anchor,mentions_riccati,mentions_seed
scripts/assets_v2/make_blumen_isoline_assets.py,16.716796875,--blumen-dir|--dpi|--negative-alpha-tolerance|--output-dir|--relative-error-floor|--release-csv,False,False,True
scripts/assets_v2/make_direct_modal_heatmaps_20.py,5.3330078125,,False,False,False
scripts/assets_v2/make_longwave_mapping_audit.py,12.515625,--dpi|--etaedge-csv|--hm2-csv|--output-dir|--release-dir,False,False,False
scripts/assets_v2/pinn_article_tools.py,17.7138671875,--audit-dir|--output-dir|--repo-root,True,True,True
scripts/audit_gep_nearest_to_fixed_ci_shooting_anchors.py,3.1259765625,--anchors|--ci-weight|--n-points|--output,True,False,False
scripts/audit_supersonic_blumen_cr_uncertainty.py,17.7421875,--alpha|--bootstrap-samples|--cr-points|--jitter-scale-alpha|--jitter-scale-mach|--local-alpha-half-window|--local-mach-half-window|--mach-values|--max-points-per-level|--min-points-per-level|--neighbor-levels|--output-stem|--reference-column|--reference-summary|--seed,True,False,True
scripts/audit_supersonic_blumen_eigenconditions.py,31.0732421875,--alpha|--amplitude-match-y|--ci-points|--cr-points|--mach-values|--map-ci-half-window|--map-cr-half-window|--map-n-ci|--map-n-cr|--mapping-scale|--match-band-width|--match-y|--output-stem|--reference-summary|--tail-fraction|--use-mapping,False,True,False
scripts/audit_supersonic_blumen_local_reference.py,14.1103515625,--alpha|--ci-points|--cr-points|--local-alpha-half-window|--local-mach-half-window|--mach-values|--neighbor-levels|--output-stem|--quantity,True,False,False
scripts/audit_supersonic_families_against_blumen.py,16.95703125,--alpha|--candidate-csv|--ci-points|--cr-points|--mach-values|--output-dir|--output-stem,True,False,False
scripts/audit_supersonic_shooting_ci_alpha_continuation.py,50.623046875,--acceptance-mode|--amp-lower-bound|--amp-upper-bound|--ci-half-windows|--ci-points|--ci-weight|--continuation-generic-seeds|--continuity-weight|--cr-half-windows|--cr-points|--cr-weight|--edge-amp-threshold|--grid-size|--line-specs|--mapping-scale|--match-y|--max-delta-ci|--max-delta-cr|--max-err-ci-abs|--max-iter|--max-retries|--max-stage1|--max-y-limit|--min-y-limit|--no-anchor-generic-seeds|--output-stem|--retry-growth|--use-mapping|--workers|--y-limit-factor,True,False,True
scripts/audit_supersonic_shooting_ci_map.py,18.552734375,--alpha-values|--amp-lower-bound|--amp-upper-bound|--ci-half-windows|--ci-points|--ci-weight|--continuity-weight|--cr-half-windows|--cr-points|--cr-weight|--grid-size|--mach-values|--mapping-scale|--match-y|--max-iter|--max-retries|--max-y-limit|--min-y-limit|--output-stem|--retry-growth|--use-mapping|--y-limit-factor,False,False,True
scripts/audit_supersonic_shooting_point_batch.py,49.1240234375,--alphas|--amp-lower-bound|--amp-upper-bound|--box-robustness-factors|--box-robustness-max-center8-delta|--box-robustness-max-edge-growth|--box-robustness-max-peak-shift|--box-robustness-max-rel-l2|--box-selection-max-candidates|--ci-half-windows|--ci-points|--ci-weight|--continuity-weight|--cr-half-windows|--cr-points|--cr-weight|--edge-amp-threshold|--grid-size|--mach|--mapping-scale|--match-y|--max-iter|--max-retries|--max-y-limit|--min-y-limit|--no-generic-seeds|--output-stem|--points|--retry-growth|--use-mapping|--visible-min-half-width|--visible-threshold-ratio|--workers|--y-limit-factor,False,False,True
scripts/audit_supersonic_shooting_point_batch_branch_guided.py,39.015625,--alpha-tolerance|--alphas|--amp-lower-bound|--amp-upper-bound|--box-robustness-factors|--box-robustness-max-center8-delta|--box-robustness-max-edge-growth|--box-robustness-max-peak-shift|--box-robustness-max-rel-l2|--box-selection-max-candidates|--ci-half-windows|--ci-points|--ci-weight|--continuity-weight|--cr-half-windows|--cr-points|--cr-weight|--dry-run|--edge-amp-threshold|--grid-size|--include-generic-seeds|--mach|--mapping-scale|--match-y|--max-iter|--max-retries|--max-y-limit|--min-y-limit|--modal-reference-csv|--output-stem|--reference-csv|--retry-growth|--use-mapping|--visible-min-half-width|--visible-threshold-ratio|--workers|--y-limit-factor,False,False,True
scripts/audit_supersonic_shooting_visual_validation.py,18.677734375,--min-half-width|--output-stem|--summary-csv|--threshold-ratio,False,True,False
scripts/build_kh_subsonic_M05_alpha010_080_reference_comparison.py,24.8916015625,--device|--experiment-root|--mode-alphas|--n-y|--num-alpha|--output-dir,True,True,False
scripts/build_kh_subsonic_M05_alpha010_080_reference_comparison_plotly.py,23.275390625,--device|--experiment-root|--mode-alphas|--n-y|--num-alpha|--output-dir,True,True,False
scripts/build_presentation_plots.py,10.2978515625,,True,True,False
scripts/build_subsonic_1d_presentation.py,17.9443359375,--device|--label-a|--label-b|--num-alpha|--output-dir|--run-a|--run-b,True,True,False
scripts/build_supersonic_fixed_ci_shooting_anchors.py,5.458984375,--ci-datasets|--cr-datasets|--cr-max|--cr-min|--n-grid|--output,True,False,True
scripts/build_supersonic_fixed_ci_shooting_extension_final.py,7.1875,--anchors|--eigen-output|--fields-output|--mapping-scale|--match-y|--max-y-limit|--min-y-limit|--y-limit-factor,True,False,False
scripts/build_supersonic_neutral_M180_M190_gep_shooting_extension.py,19.677734375,--ci-datasets|--cr-datasets|--dry-run|--max-points|--no-figures|--no-shooting|--output-dir,True,False,True
scripts/build_supersonic_reference_tables.py,8.2607421875,--modal-fields|--modal-summaries|--output-dir|--output-stem|--spectral-fields|--spectral-summaries,True,False,False
scripts/build_supersonic_shooting_reference_package.py,38.9853515625,--alpha-max|--alpha-min|--amp-lower-bound|--amp-upper-bound|--ci-half-windows|--ci-points|--ci-weight|--continuity-weight|--cr-half-windows|--cr-points|--cr-weight|--grid-size|--mach-max|--mach-min|--mapping-scale|--match-y|--max-iter|--max-retries|--max-y-limit|--min-y-limit|--mode-ci-half-windows|--mode-ci-max|--mode-ci-min|--mode-cr-half-windows|--mode-cr-max|--mode-cr-min|--mode-dedup-ci-tol|--mode-dedup-cr-tol|--mode-points|--mode-seed-ci-count|--mode-seed-cr-count|--mode-top-k|--num-alpha|--num-mach|--output-stem|--resume-grid-summary|--retry-growth|--use-mapping|--visible-min-half-width|--visible-threshold-ratio|--y-limit-factor,False,False,True
scripts/compare_kh_subsonic_ci_two_runs.py,4.943359375,--checkpoint-a|--checkpoint-b|--device|--label-a|--label-b|--num-alpha|--output|--run-a|--run-b,False,False,False
scripts/compare_kh_subsonic_classic_vs_pinn_mode.py,8.0888671875,--alpha|--device|--mach|--mapping-scale-classic|--n-points-classic|--n-y-pinn|--output|--run-dir|--xi-max-classic,True,True,False
scripts/compare_kh_subsonic_fixed_mach_modal_candidates.py,21.3779296875,--candidates|--device|--n-y-pinn|--num-alpha-ci|--num-alpha-modes|--output-root|--overlay-alphas|--y-common|--y-max,True,True,False
scripts/compare_kh_subsonic_mode_amp_phase.py,6.435546875,--alpha|--checkpoint|--device|--mach|--mapping-scale-classic|--n-points-classic|--n-y-pinn|--output|--run-dir|--xi-max-classic,True,True,False
scripts/compare_kh_subsonic_mode_two_runs_amp_phase.py,7.7001953125,--alpha|--checkpoint-a|--checkpoint-b|--device|--label-a|--label-b|--mach|--mapping-scale-classic|--n-points-classic|--n-y-pinn|--output|--run-a|--run-b|--xi-max-classic,True,True,False
scripts/compare_kh_subsonic_pressure_mode.py,5.609375,--alpha|--device|--mach|--mapping-scale-classic|--n-points-classic|--n-y-pinn|--output|--run-dir|--xi-max-classic,False,False,False
scripts/compare_kh_subsonic_three_modes_amp_phase_q.py,10.068359375,--alphas|--checkpoint|--device|--mach|--n-y-pinn|--output|--phase-threshold|--run-dir,True,True,False
scripts/densify_supersonic_intermediate_mach_spectral.py,19.52734375,--acceptance-mode|--amp-lower-bound|--amp-upper-bound|--anchor-alpha-tolerance|--ci-half-windows|--ci-points|--ci-weight|--continuation-generic-seeds|--continuity-weight|--cr-half-windows|--cr-points|--cr-weight|--dry-run|--edge-amp-threshold|--grid-size|--line-specs|--mapping-scale|--match-y|--max-delta-ci|--max-delta-cr|--max-err-ci-abs|--max-iter|--max-retries|--max-stage1|--max-y-limit|--min-y-limit|--modal-fields-csv|--modal-reference-csv|--output-stem|--retry-growth|--use-mapping|--workers|--y-limit-factor,True,False,True
scripts/densify_supersonic_modal_front_spectral.py,18.861328125,--acceptance-mode|--amp-lower-bound|--amp-upper-bound|--backtrack-points|--ci-half-windows|--ci-points|--ci-weight|--continuation-generic-seeds|--continuity-weight|--cr-half-windows|--cr-points|--cr-weight|--dry-run|--edge-amp-threshold|--frontier-subdivisions|--grid-size|--lookahead-points|--manual-line-specs|--manual-only|--mapping-scale|--match-y|--max-delta-ci|--max-delta-cr|--max-err-ci-abs|--max-iter|--max-retries|--max-stage1|--max-y-limit|--min-y-limit|--modal-fields-csv|--modal-reference-csv|--modal-summary-csv|--other-subdivisions|--output-stem|--points-csv|--retry-growth|--use-mapping|--workers|--y-limit-factor,True,False,True
scripts/dev/benchmark_subsonic_pinn_ci_seeded_gep_modes.py,6.1162109375,,False,False,True
