normal_axis,chart_minus_grid,chart_plus_grid,Mach_minus_grid,Mach_plus_grid,alpha_minus_grid,alpha_plus_grid,Mach_mid,alpha_mid,pair_id
Mach,C22,C32,1.648,1.6509999999999998,0.3279666666666667,0.3279666666666667,1.6494999999999997,0.3279666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.329,0.329,1.6494999999999997,0.329,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.33003333333333335,0.33003333333333335,1.6494999999999997,0.33003333333333335,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3310666666666667,0.3310666666666667,1.6494999999999997,0.3310666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3321,0.3321,1.6494999999999997,0.3321,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.33313333333333334,0.33313333333333334,1.6494999999999997,0.33313333333333334,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.33416666666666667,0.33416666666666667,1.6494999999999997,0.33416666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3352,0.3352,1.6494999999999997,0.3352,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.33623333333333333,0.33623333333333333,1.6494999999999997,0.33623333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.33726666666666666,0.33726666666666666,1.6494999999999997,0.33726666666666666,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3383,0.3383,1.6494999999999997,0.3383,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3393333333333333,0.3393333333333333,1.6494999999999997,0.3393333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.34036666666666665,0.34036666666666665,1.6494999999999997,0.34036666666666665,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3414,0.3414,1.6494999999999997,0.3414,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3424333333333333,0.3424333333333333,1.6494999999999997,0.3424333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.34346666666666664,0.34346666666666664,1.6494999999999997,0.34346666666666664,C22--C32
