benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error
18,C02,1.1,0.265,0.2071896831590645,0.0445687947481188,0.2084159,0.046079602,0.0019458022235907314,COMPLETED,,0.20718543124999997,0.044565930125000014,2.211833674201388e-06,2.0541901811360113e-20,2.211833674201409e-06,True,True,0,0.03,0.015,12,350.9361610809574,5.126870030115221e-06
31,C12,1.25,0.235,0.283159755764521,0.0387025891520861,0.28283066,0.041880608,0.003195012960837817,COMPLETED,,0.2831626912500001,0.038706779875,2.025143753248376e-06,1.3005829963738973e-21,2.0251437532483773e-06,True,True,0,0.03,0.015,12,366.5016404269263,5.116564622768399e-06
36,C20,1.45,0.105,0.3134370510761152,0.0607481498786416,0.30449653,0.06847061,0.011813945464510619,COMPLETED,,0.3134418424999999,0.060746651666666665,7.55252624534316e-07,6.128669968366092e-21,7.552526245343221e-07,True,True,0,0.06,0.008,12,317.55548810295295,5.020197402970737e-06
15,C02,1.05,0.225,0.1469792621771554,0.0747033476696535,0.12873165,0.07470628,0.018247612412763244,COMPLETED,,0.146983603125,0.07470107166666666,1.5687109843619591e-06,2.0318595365010437e-20,1.5687109843619795e-06,True,True,0,0.015,0.008,12,322.8310503370594,4.901430177575952e-06
11,C01,1.2,0.19,0.2345470619404851,0.0685917338335152,0.24296986,0.06653136,0.00867113991844222,COMPLETED,,0.23455189125,0.06859190687500001,1.430243426580824e-06,7.233081436911084e-23,1.430243426580824e-06,True,True,0,0.03,0.015,12,339.4988069609972,4.832408689892215e-06
61,C31,1.9,0.145,0.4941169522172745,0.0161551782261101,0.49750045,0.0153236855,0.003484169542270071,COMPLETED,,0.4941215437499999,0.016153763625,1.2975087918026278e-06,8.548407267782623e-21,1.2975087918026362e-06,True,True,0,0.03,0.015,12,383.99299881304614,4.80450508057482e-06
39,C20,1.6,0.11,0.3823053415294019,0.0409883410294948,0.38229913,0.03998612,0.0010022402781065664,COMPLETED,,0.382308895625,0.040991328333333334,8.336868313614167e-07,6.144115742616879e-21,8.336868313614229e-07,True,True,0,0.015,0.008,12,333.93614785710815,4.642798697355263e-06
59,C31,1.85,0.18,0.4905395491810024,0.0108833347589581,0.49440157,0.009621079,0.004063064657053083,COMPLETED,,0.49054414812499997,0.010883846916992188,1.4905839363844207e-06,8.924117039003692e-21,1.4905839363844296e-06,True,True,0,0.015,0.015,12,411.6024335150141,4.6273741738331985e-06
56,C31,1.8,0.14,0.4643068067440054,0.0214988079117178,0.46921465,0.019464087,0.005312910183128805,COMPLETED,,0.46430254062500004,0.021500545333333336,1.1967127752533441e-06,8.127362541496132e-21,1.1967127752533522e-06,True,True,0,0.015,0.008,12,373.5063059080858,4.606344020784944e-06
53,C30,1.9,0.075,0.4689092726029273,0.0226079949575224,0.48274958,0.021848977,0.013861104469172249,COMPLETED,,0.468911689375,0.022604185333333332,6.020286249651805e-07,1.979021323816144e-21,6.020286249651825e-07,True,True,0,0.015,0.008,12,338.55644415295683,4.511543384837049e-06
45,C22,1.45,0.235,0.3745136540289731,0.0171237709666125,0.3660217,0.01809216,0.008546991315672266,COMPLETED,,0.37451779375,0.017125363124999998,1.824540095049561e-06,5.266453105294188e-22,1.8245400950495615e-06,True,True,0,0.03,0.015,12,407.15694438898936,4.435341983612874e-06
58,C31,1.85,0.125,0.4737811036592556,0.021530581350278,0.47188404,0.021282176,0.0019132578878224636,COMPLETED,,0.47377857124999995,0.021526967666666667,1.0343130109737903e-06,7.040551065406461e-21,1.0343130109737973e-06,True,True,0,0.03,0.008,12,365.51056743902154,4.412686923045537e-06
62,C32,1.75,0.21,0.4702734319548457,0.0072567424189534,0.47233957,0.006595636,0.002169328955879046,COMPLETED,,0.4702692575000001,0.007258164001302083,1.623766171661794e-06,6.657047902222163e-21,1.6237661716618006e-06,True,True,0,0.06,0.008,12,431.4913275470026,4.409871838532575e-06
60,C31,1.85,0.2,0.4955951008506211,0.0060751576994105,0.49839124,0.004372012,0.0032740035760686036,COMPLETED,,0.49559827125000006,0.006072219381510417,1.5030983726757865e-06,8.51854213933699e-21,1.503098372675795e-06,True,True,0,0.03,0.008,12,434.6729153239867,4.322631641041027e-06
63,C32,1.8,0.21,0.4844803096378324,0.0052840046266204,0.48507968,0.0046004322,0.0009091293051489665,COMPLETED,,0.48448397687499994,0.005286150100065105,1.5490927063207544e-06,7.585035850784808e-21,1.549092706320762e-06,True,True,0,0.015,0.015,12,437.7837895810371,4.248727426534318e-06
29,C11,1.35,0.155,0.2967549899429557,0.0596339037531516,0.2959671,0.05966769,0.0007886140200927427,COMPLETED,,0.29675811562499993,0.05963123166666667,1.0058435035248452e-06,4.1207534821184346e-21,1.0058435035248493e-06,True,True,0,0.015,0.008,12,336.1399625230115,4.11216906566969e-06
7,C01,1.0,0.18,-4.0809311066342696e-10,0.0641392460321991,-0.0006327033,0.07674222,0.012618845659666911,COMPLETED,,0.0,0.06414326166666666,5.672536404890826e-07,2.324235400093323e-21,5.672536404890849e-07,True,True,0,0.015,0.008,12,278.85367786802817,4.015634488294374e-06
50,C30,1.75,0.055,0.4075496013880763,0.029060765945644,0.40653977,0.029263683,0.0010300168752464837,COMPLETED,,0.407545629375,0.029060557999999997,3.140072689478673e-07,8.826584390040532e-22,3.140072689478682e-07,True,True,0,0.015,0.008,12,319.278969543986,3.977452610529408e-06
25,C10,1.4,0.075,0.2608331471465684,0.0767975321674059,0.24625681,0.07537048,0.014646026167494315,COMPLETED,,0.2608368881249999,0.07679626125,3.4113853189105686e-07,3.947799624832739e-21,3.4113853189106083e-07,True,True,0,0.015,0.03,12,297.67032797192223,3.950968321486704e-06
14,C02,1.05,0.22,0.1435406899321354,0.0776899506702274,0.1261714,0.07830887,0.017380313400032422,COMPLETED,,0.14354444687499998,0.07768907833333334,1.1889848155538973e-06,1.8736941841840077e-20,1.188984815553916e-06,True,True,0,0.015,0.008,12,321.97091203392483,3.856888816713194e-06
48,C30,1.7,0.06,0.3910915486397204,0.0336318199900653,0.39153743,0.03393739,0.0005405397473047618,COMPLETED,,0.39108821125,0.03363009833333333,3.1668962857602686e-07,1.2877384420487003e-21,3.1668962857602813e-07,True,True,0,0.03,0.008,12,318.69600360200275,3.755299195626041e-06
8,C01,1.05,0.14,0.0443825798422026,0.1272560731093161,0.057097346,0.106898494,0.0240020062836325,COMPLETED,,0.044382502250000004,0.127259822125,2.8795051933035705e-07,6.457079733584558e-22,2.879505193303577e-07,True,True,0,0.03,0.015,12,273.6351956599392,3.7498185486768873e-06
