cost_id,Mach,alpha,classical_success,classical_cr,classical_ci,classical_omega_i,classical_residual_norm,classical_delta_kappa,classical_delta_q,classical_parameterization,classical_settings_name,classical_best_seed_index,classical_best_seed_cr,classical_best_seed_ci,classical_n_generic_starts,classical_n_accepted_starts,classical_n_solver_attempts,classical_objective_calls,classical_integration_failures,classical_seconds,status,_source_file,_technical_success,mach_index,alpha_index,primary_chart
50,1.09,0.21275,True,0.1730579096385193,0.0756226009981576,0.016088708362358,4.06767816130323e-12,-3.944004844935733e-12,9.954051471972036e-13,log_ci,nominal,3,0.1,0.002,6,1,36,3487,0,288.6504872139776,COMPLETED,classical_COST500_chunk_010.csv,True,2,10,C02
51,1.09,0.2282499999999999,True,0.1820982193575173,0.066725986207654,0.015230206351897,7.858169644387734e-11,-7.582456884591693e-11,2.063292939280537e-11,log_ci,nominal,3,0.1,0.002,6,1,36,2859,0,235.60397614201065,COMPLETED,classical_COST500_chunk_010.csv,True,2,11,C02
52,1.09,0.24375,True,0.1902713959405828,0.0579155163713442,0.0141169071155151,9.927673319630566e-15,9.06219543850284e-15,4.054048763357798e-15,log_ci,nominal,3,0.1,0.002,6,2,28,1890,0,142.4784235340776,COMPLETED,classical_COST500_chunk_010.csv,True,2,12,C02
53,1.09,0.25925,True,0.1977224010488086,0.049186901918054,0.0127517043222554,2.235102172118358e-15,8.049116928532385e-16,2.085137618124122e-15,log_ci,nominal,3,0.1,0.002,6,1,36,2879,0,232.3670235190075,COMPLETED,classical_COST500_chunk_010.csv,True,2,13,C02
54,1.09,0.27475,True,0.2045628069617228,0.0405361946714899,0.0111373194859918,4.2954108424029916e-14,-2.4022450695326825e-14,3.5608668791375926e-14,log_ci,nominal,3,0.1,0.002,6,1,36,2795,0,223.27456935192455,COMPLETED,classical_COST500_chunk_010.csv,True,2,14,C02
55,1.09,0.29025,True,0.2108807197385295,0.0319597432571131,0.0092763154803771,1.942383431186159e-12,-7.245176680825693e-13,1.802200749745353e-12,log_ci,nominal,3,0.1,0.002,6,1,36,2459,0,214.80338396399748,COMPLETED,classical_COST500_chunk_011.csv,True,2,15,C02
56,1.09,0.3057499999999999,True,0.2167471807604374,0.0234541588255747,0.0071711090609194,9.229447875672256e-11,-3.1840141634376096e-11,8.662837981676663e-11,log_ci,nominal,3,0.1,0.002,6,1,36,2601,0,222.30275768204592,COMPLETED,classical_COST500_chunk_011.csv,True,2,16,C02
57,1.09,0.32125,True,0.2222204728301322,0.0150162889758602,0.004823982833495,1.3848723964518021e-14,1.2628786905111156e-14,-5.683387788169014e-15,log_ci,nominal,3,0.1,0.002,6,1,36,2572,0,223.8522003289545,COMPLETED,classical_COST500_chunk_011.csv,True,2,17,C02
58,1.09,0.33675,True,0.2273491160788052,0.006643199947711,0.0022370975823916,3.482276045475231e-10,-1.5740196646074622e-10,3.106237040587795e-10,log_ci,nominal,3,0.1,0.002,6,3,33,2330,0,199.2095407709712,COMPLETED,classical_COST500_chunk_011.csv,True,2,18,C02
59,1.09,0.3522499999999999,True,0.9051405441507298,4.961880928609225e-06,1.747822557102599e-06,3.6733648442795854e-09,2.965456627575882e-09,-2.167873674630388e-09,linear_ci,strict_L30_y1p5,2,0.9,0.0001,6,1,45,3268,0,291.051477623987,COMPLETED,classical_COST500_chunk_011.csv,True,2,19,C02
60,1.126,0.05775,True,-1.1807619487701494e-10,0.0673112830116466,0.0038872265939225,6.688137505063284e-11,6.49879065492409e-11,1.5801592673225784e-11,log_ci,nominal,3,0.1,0.002,6,1,36,3206,0,254.06172744906507,COMPLETED,classical_COST500_chunk_012.csv,True,3,0,C00
61,1.126,0.07325,True,9.331792878398771e-09,0.1060513809642101,0.0077682636556283,3.939695765443606e-10,1.5195959768288247e-10,-3.6348357310145296e-10,log_ci,nominal,3,0.1,0.002,6,2,32,3191,0,245.1853748750873,COMPLETED,classical_COST500_chunk_012.csv,True,3,1,C00
62,1.126,0.08875,True,0.0642965249314665,0.1407905254518592,0.0124951591338525,4.0325755790075e-14,-3.435793316519664e-14,-2.1111584702637742e-14,log_ci,nominal,3,0.1,0.002,6,1,36,3298,0,264.8287774710916,COMPLETED,classical_COST500_chunk_012.csv,True,3,2,C00
63,1.126,0.10425,True,0.0987998521367962,0.1315321372472227,0.0137122253080229,2.5467902409899253e-13,-2.533251386438451e-13,2.6225549509817373e-14,log_ci,nominal,3,0.1,0.002,6,2,36,3190,0,266.0681486820104,COMPLETED,classical_COST500_chunk_012.csv,True,3,3,C00
64,1.126,0.11975,True,0.1224024966923705,0.1223867280343701,0.0146558106821158,6.369555958289487e-14,-5.863712293496803e-14,2.487593464550741e-14,log_ci,nominal,3,0.1,0.002,6,1,36,3508,0,274.2595031580422,COMPLETED,classical_COST500_chunk_012.csv,True,3,4,C01
65,1.126,0.13525,True,0.140848711335898,0.1133448955731314,0.015329897126266,4.397320575497178e-13,-3.436625983788133e-13,2.7433610938487623e-13,log_ci,nominal,3,0.1,0.002,6,1,36,2871,0,239.93303581897635,COMPLETED,classical_COST500_chunk_013.csv,True,3,5,C01
66,1.126,0.15075,True,0.1560962201887831,0.1043986902183673,0.0157381025504188,3.7572300435123694e-11,-3.437787554627647e-11,1.5160456223739516e-11,log_ci,nominal,3,0.1,0.002,6,1,36,2857,0,238.67040440498383,COMPLETED,classical_COST500_chunk_013.csv,True,3,6,C01
67,1.126,0.16625,True,0.169109137668423,0.0955413656302957,0.0158837520360366,2.993390897671337e-16,-2.0816681711721683e-16,-2.1510571102112408e-16,log_ci,nominal,3,0.1,0.002,6,1,36,3683,0,307.9410798349418,COMPLETED,classical_COST500_chunk_013.csv,True,3,7,C01
68,1.126,0.18175,True,0.1804519141539478,0.0867671712898304,0.0157699333819266,1.5290455745160366e-14,-1.4814538484841933e-14,3.785166624581393e-15,log_ci,nominal,3,0.1,0.002,6,1,36,3584,0,307.26409492001403,COMPLETED,classical_COST500_chunk_013.csv,True,3,8,C01
69,1.126,0.19725,True,0.1904909330032112,0.0780711765750489,0.0153995395794284,5.646031551250703e-13,-5.550004900101159e-13,1.0368789160608573e-13,log_ci,nominal,3,0.1,0.002,6,1,36,3658,0,315.5072456840426,COMPLETED,classical_COST500_chunk_013.csv,True,3,9,C01
70,1.126,0.21275,True,0.1994809538820554,0.0694491265953419,0.014775301683159,6.46500880744364e-12,-6.182582223956956e-12,1.8899777576297798e-12,log_ci,nominal,3,0.1,0.002,6,2,28,2753,0,229.27447453490456,COMPLETED,classical_COST500_chunk_014.csv,True,3,10,C02
71,1.126,0.2282499999999999,True,0.207608038715661,0.0608973230492954,0.0138998139860016,4.268940432649603e-11,-2.4666768627668034e-11,3.484158100919288e-11,log_ci,nominal,3,0.1,0.002,6,1,36,3224,0,281.2728564940626,COMPLETED,classical_COST500_chunk_014.csv,True,3,11,C02
72,1.126,0.24375,True,0.2150131642598285,0.0524125267250837,0.0127755533892391,1.7450395602132093e-15,-6.938893903907228e-16,1.601149768326593e-15,log_ci,nominal,3,0.1,0.002,6,2,28,2276,0,192.92106737394352,COMPLETED,classical_COST500_chunk_014.csv,True,3,12,C02
73,1.126,0.25925,True,0.2218062321776976,0.0439918795591675,0.0114048947757141,3.4448865408854728e-15,-2.858824288409778e-15,-1.9220736113823027e-15,log_ci,nominal,3,0.1,0.002,6,1,36,2787,0,229.44503825204447,COMPLETED,classical_COST500_chunk_014.csv,True,3,13,C02
74,1.126,0.27475,True,0.2280748865074628,0.0356328409313531,0.0097901230458892,6.685665998415148e-13,-1.4142853554943713e-13,6.534365062926817e-13,log_ci,nominal,3,0.1,0.002,6,1,36,2602,0,224.1550944889896,COMPLETED,classical_COST500_chunk_014.csv,True,3,14,C02
75,1.126,0.29025,True,0.2338903278507694,0.0273331387987081,0.007933443536325,3.2813563581774008e-15,-6.245004513516507e-16,3.2213814948889308e-15,log_ci,nominal,3,0.1,0.002,6,1,36,2462,0,211.47574140003417,COMPLETED,classical_COST500_chunk_015.csv,True,3,15,C02
76,1.126,0.3057499999999999,True,0.2393112947997176,0.0190907292983782,0.0058369904829791,3.151026829505855e-14,-1.609823385706477e-14,2.7087707077377843e-14,log_ci,nominal,3,0.1,0.002,6,1,36,2459,0,217.43077275995165,COMPLETED,classical_COST500_chunk_015.csv,True,3,16,C02
77,1.126,0.32125,True,0.2443868836348143,0.0109037691755763,0.0035028358476538,1.930283111557653e-14,1.6903145549918008e-14,-9.32110291729238e-15,log_ci,nominal,3,0.1,0.002,6,1,36,2586,0,227.53299487091132,COMPLETED,classical_COST500_chunk_015.csv,True,3,17,C02
78,1.126,0.33675,True,0.2491585811271476,0.0027705855658777,0.0009329946893093,1.3469394376582609e-12,-1.0952766471561404e-12,7.839737973386329e-13,linear_ci,nominal,0,0.1,0.0001,6,3,32,2339,0,206.74064538895615,COMPLETED,classical_COST500_chunk_015.csv,True,3,18,C02
79,1.126,0.3522499999999999,True,0.9051405604687852,4.93377542301078e-06,1.7379223927555466e-06,3.6470237333896877e-09,2.951579260951813e-09,-2.14218626132902e-09,linear_ci,strict_L30_y1p5,2,0.9,0.0001,6,2,37,2884,0,244.6234806790017,COMPLETED,classical_COST500_chunk_015.csv,True,3,19,C02
80,1.162,0.05775,True,1.7517621252403655e-08,0.1195094298468862,0.0069016695736576,6.479343232626652e-10,-6.438350425713724e-10,-7.276898528196796e-11,log_ci,nominal,3,0.1,0.002,6,1,36,3181,0,247.46113562595565,COMPLETED,classical_COST500_chunk_016.csv,True,4,0,C00
81,1.162,0.07325,True,0.0784712537715186,0.1397175160847077,0.0102343080532048,7.006332008138973e-11,-6.788021533754574e-11,1.735353527543282e-11,log_ci,nominal,3,0.1,0.002,6,1,36,3302,0,264.33136630803347,COMPLETED,classical_COST500_chunk_016.csv,True,4,1,C00
82,1.162,0.08875,True,0.1122217147903223,0.1309556331661565,0.0116223124434963,9.1688371231563e-11,-9.057465194528548e-11,1.4247450441651209e-11,log_ci,nominal,3,0.1,0.002,6,1,36,3447,0,262.0467471779557,COMPLETED,classical_COST500_chunk_016.csv,True,4,2,C00
83,1.162,0.10425,True,0.1361116629032671,0.1222731103028438,0.0127469717490714,1.2928763885893657e-13,-1.200983756888263e-13,4.7871429043055975e-14,log_ci,nominal,3,0.1,0.002,6,2,36,3256,0,265.02264621597715,COMPLETED,classical_COST500_chunk_016.csv,True,4,3,C00
84,1.162,0.11975,True,0.1549527335158827,0.1136636969434528,0.0136112277089784,5.3431922367979006e-11,-5.013744280857324e-11,1.84717935391987e-11,log_ci,nominal,3,0.1,0.002,6,1,36,3321,0,268.8891414810205,COMPLETED,classical_COST500_chunk_016.csv,True,4,4,C01
85,1.162,0.13525,True,0.17056781529641,0.105122065498256,0.0142177593586391,1.6139455535375835e-16,-6.938893903907227e-17,1.457167719820518e-16,log_ci,nominal,3,0.1,0.002,6,1,36,3449,0,292.4493091920158,COMPLETED,classical_COST500_chunk_017.csv,True,4,5,C01
86,1.162,0.15075,True,0.1838952507249416,0.0966437255183459,0.0145690416218906,1.2581087241795926e-15,-1.2351231148954868e-15,-2.3939183968479943e-16,log_ci,nominal,3,0.1,0.002,6,1,36,3566,0,296.9273006799631,COMPLETED,classical_COST500_chunk_017.csv,True,4,6,C01
87,1.162,0.16625,True,0.1954984673553601,0.0882249246685658,0.014667393726149,1.6765759126551124e-15,-1.457167719820518e-15,8.291978215169138e-16,log_ci,nominal,3,0.1,0.002,6,1,36,3688,0,394.2107020249823,COMPLETED,classical_COST500_chunk_017.csv,True,4,7,C01
