t401_row,test_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,status,technical_success,target_error,target_recovery,best_candidate_index,best_center_index,best_cr_center,best_ci_center,best_cr,best_ci,best_stage1_mismatch,best_stage2_mismatch,best_total_mismatch,best_retry_index,n_boxes,n_completed_boxes,n_technical_boxes,total_box_solves,total_seconds
389,389,C32,1.65,0.21,0.4394495229474536,0.0120648450484804,0.44137794,0.011543313,COMPLETED,True,0.32223357762436283,False,9,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,6.400563357962605e-08,9.91570424424281e-20,6.400563357972521e-08,0,12,12,11,23,896.1062521490967
390,390,C32,1.65,0.215,0.4408439669080993,0.0105515052181564,0.44381574,0.009081907,COMPLETED,True,0.3207875673927745,False,11,5,0.9,0.002,0.7614583333333332,1.1513020833333332e-05,6.26707406334331e-08,8.978059107415673e-20,6.267074063352289e-08,0,12,12,11,19,749.4429828001885
391,391,C32,1.65,0.22,0.4422060711065786,0.0090228265664929,0.4453123,0.0066645397,COMPLETED,True,0.31937971177189134,False,10,5,0.9,0.002,0.7614583333333332,1e-06,7.51060303517108e-08,1.0507180901426586e-19,7.510603035181588e-08,0,12,12,11,24,945.0708848311333
392,392,C32,1.65,0.225,0.4435372587284917,0.0074798945712252,0.44579023,0.0045900517,COMPLETED,True,0.31800876805548134,False,9,5,0.9,0.002,0.7614583333333332,1.2171874999999996e-05,6.589540228967951e-08,7.193011803061777e-20,6.589540228975144e-08,0,12,12,11,24,993.6225246841786
393,393,C32,1.65,0.24,0.4473583741785785,0.0027754388739638,0.44691223,0.0016184518,COMPLETED,True,0.31411192261368703,False,11,2,0.9,0.0001,0.7614583333333332,3.398177083333332e-05,7.392108761575525e-08,4.8931774271106195e-20,7.392108761580418e-08,0,12,12,11,23,1009.1304249987006
394,394,C32,1.7,0.21,0.4552834131668948,0.0095030958822338,0.45816296,0.009074255,COMPLETED,True,0.30632233278864945,False,10,2,0.9,0.0001,0.7614583333333332,1e-06,1.80281071675041e-08,7.203544431609104e-20,1.8028107167576133e-08,0,12,12,11,22,887.5795508516021
395,395,C32,1.7,0.225,0.4591689061072109,0.0051116684727593,0.4609204,0.004011785,COMPLETED,True,0.30233262600145483,False,9,2,0.9,0.0001,0.7614583333333332,1e-06,6.783715534664716e-08,6.918036443181663e-20,6.783715534671633e-08,0,12,12,11,24,1030.0020758742467
396,396,C32,1.7,0.24,0.4628080238673403,0.0005983786311341,0.45728517,0.0018226365,COMPLETED,True,0.298650838882201,False,11,5,0.9,0.002,0.7614583333333332,3.604340277777777e-05,7.361811741594509e-08,5.117947603962743e-20,7.361811741599627e-08,0,12,12,11,22,945.1516478130361
397,397,C32,1.75,0.215,0.4715333763823652,0.0058666599725996,0.4735546,0.0055804183,COMPLETED,True,0.28998428686729705,False,10,5,0.9,0.002,0.7614583333333332,1e-06,1.373571562764343e-08,1.2657772170905078e-19,1.3735715627770008e-08,0,12,12,11,23,952.3989431749796
398,398,C32,1.75,0.235,0.4762994308359091,0.0001659878864715,0.47074473,0.0020783881,COMPLETED,True,0.2851589439819499,False,9,5,0.9,0.002,0.7614583333333332,1.2171874999999996e-05,6.730327582519782e-08,6.127593598032063e-20,6.73032758252591e-08,0,12,12,11,24,1017.9405464270385
399,399,C32,1.8,0.22,0.4868557665371605,0.0025938712316997,0.4869884,0.0029267317,COMPLETED,True,0.27461480781682307,False,11,2,0.9,0.0001,0.7614583333333332,1e-06,1.3560472608509308e-08,5.3700116145366913e-20,1.3560472608563009e-08,0,12,12,11,22,1044.8287745551206
400,400,C32,1.85,0.215,0.4991054428041869,0.0022597848077579,0.49925324,0.0021194813,COMPLETED,True,0.26236214058891066,False,10,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,6.970669664470702e-08,1.0028173200179352e-19,6.97066966448073e-08,0,12,12,11,23,927.2333106093574
