dataset,source_id,chart,Mach,alpha,r_kappa_normalized_rms_stage2,r_q_normalized_rms_stage2,r_logamp_normalized_rms_stage2,bc_kappa_rmse_stage2,bc_q_rmse_stage2,r_kappa_normalized_rms_stage3,r_q_normalized_rms_stage3,r_logamp_normalized_rms_stage3,bc_kappa_rmse_stage3,bc_q_rmse_stage3,r_kappa_normalized_rms_delta,r_kappa_normalized_rms_ratio,r_q_normalized_rms_delta,r_q_normalized_rms_ratio,r_logamp_normalized_rms_delta,r_logamp_normalized_rms_ratio,bc_kappa_rmse_delta,bc_kappa_rmse_ratio,bc_q_rmse_delta,bc_q_rmse_ratio
T401,37,C01,1.05,0.12,0.0177903330192773,0.017745827356934,0.0118748572607229,0.0008561632089422,0.0017607674208447,0.0102211195292137,0.0103382455383178,0.0103480721158278,0.0047384864811894,0.0009117829410934,-0.007569213490063601,0.574532220287179,-0.007407581818616199,0.582573318807716,-0.0015267851448951004,0.8714270739114421,0.0038823232722472,5.534559803199039,-0.0008489844797512999,0.5178326963001092
T401,38,C01,1.05,0.13,0.0175601665499978,0.0181970632049395,0.0115790314402004,0.0007822592786337,0.0015611789833226,0.0091039106917167,0.009626190708063,0.0101819815400695,0.0043251955430053,0.0008799092760433,-0.0084562558582811,0.5184410219456512,-0.008570872496876498,0.5289969375635306,-0.0013970499001309013,0.8793465664770038,0.0035429362643716,5.529107370333427,-0.0006812697072793001,0.5636184482644144
T401,39,C01,1.05,0.145,0.0160640819776265,0.016207761194824,0.0106442990764399,0.0001195227034568,0.0012240304898152,0.0094430378693465,0.0086807956213256,0.009393131413651,0.0035179804622101,0.0015272965402384,-0.006621044108280001,0.587835512947359,-0.007526965573498398,0.5355949854504175,-0.001251167662788901,0.882456547509245,0.0033984577587533,29.43357504862355,0.00030326605042320007,1.2477602093629108
T401,40,C01,1.05,0.16,0.0163707589819751,0.0162409274486118,0.0114086938817621,0.0012047994996202,0.0014248793514886,0.0089854843877451,0.0096636510699887,0.0094885869124182,0.0034092506968846,0.0017263127219136,-0.007385274594230001,0.5488740257943141,-0.0065772763786231,0.5950184249369764,-0.0019201069693438998,0.8316979148320057,0.0022044511972643998,2.8297245292343907,0.00030143337042499996,1.2115501007928051
T401,41,C01,1.05,0.17,0.0154278902775669,0.0179480480714111,0.0105871017599256,0.0020628489110074,0.0019157107155985,0.008542862712161,0.0103344739415586,0.0091253805903523,0.0034666138797133,0.0015810019030243,-0.006885027565405899,0.55372851105785,-0.0076135741298525,0.5757993237169935,-0.001461721169573299,0.861933775388254,0.0014037649687058998,1.6804981989787928,-0.00033470881257420017,0.8252821734258392
T401,42,C01,1.05,0.18,0.0164861806789023,0.0184572904180062,0.010431223932067,0.0022083302321748,0.0021525208894727,0.0092012316810763,0.0103075883688539,0.0086499915480421,0.0029529941185945,0.0009496454730943,-0.007284948997825998,0.5581178479289205,-0.0081497020491523,0.5584562054026211,-0.0017812323840248993,0.8292403273455621,0.0007446638864197002,1.3372067617289027,-0.0012028754163784,0.44117828437285606
T401,43,C01,1.05,0.19,0.0140445652811559,0.016282004714424,0.0121000621828692,0.0012801179087994,0.0017065003955587,0.0088116398050535,0.0110760929041451,0.0086398800380356,0.0025318340559694,0.0003253874061559,-0.005232925476102402,0.6274056639457822,-0.005205911810278898,0.6802659192410714,-0.003460182144833601,0.7140360030767121,0.0012517161471699999,1.9778131674948305,-0.0013811129894028,0.1906752597319907
T401,44,C01,1.05,0.205,0.0157909530388931,0.0187635400183166,0.0131959669453818,0.0012592387773393,0.0006569208075045,0.0091707194685267,0.0111121391453687,0.0080108111243529,0.0016095380995746,0.0007625975438743,-0.0066202335703664,0.5807578203759601,-0.007651400872947901,0.5922197588792545,-0.0051851558210289,0.6070651099316711,0.00035029932223530017,1.2781833982078148,0.00010567673636980007,1.1608667820574037
T401,45,C01,1.1,0.12,0.0166901196959959,0.015625208614864,0.011633334455011,0.0002462631378015,0.0004067078026148,0.0097692888807566,0.0100229764178976,0.0103019711812902,0.004621787540851,0.0002658771796286,-0.006920830815239299,0.5853336619928696,-0.005602232196966402,0.6414619263619245,-0.0013313632737207998,0.8855561766173308,0.0043755244030495,18.76767908551699,-0.0001408306229862,0.6537302159418291
T401,46,C01,1.1,0.135,0.0164261891901794,0.0164264018041346,0.0106267623965973,0.0006712269355822,0.0006101035241817,0.0108121845552151,0.0093120463921553,0.0096541354977714,0.0044257619710645,0.0009842357884458,-0.0056140046349643005,0.6582284198747265,-0.007114355411979299,0.5668950816612447,-0.0009726268988258999,0.9084738265026668,0.0037545350354823,6.593540480054992,0.00037413226426409997,1.6132275088328722
T401,47,C01,1.1,0.15,0.0167015767314953,0.01664193412675,0.0096966137887861,0.002536110952758,0.0014729767639797,0.0100548987117726,0.0101830054982229,0.0102894329357915,0.0055654995058449,0.0024167195749491,-0.0066466780197227005,0.60203290224757,-0.006458928628527099,0.6118883430655387,0.0005928191470053988,1.0611367184378304,0.0030293885530868997,2.1945015851110394,0.0009437428109693999,1.6407044795598733
T401,48,C01,1.1,0.165,0.0156408505211518,0.0172199457110609,0.0102236463030337,0.0033511479056345,0.0016395303578491,0.0089240344105994,0.0112931430760971,0.009751986128751,0.0047282703269608,0.0021195822004845,-0.006716816110552399,0.5705594077848287,-0.005926802634963802,0.6558175772205348,-0.00047166017428269987,0.9538657578419216,0.0013771224213263,1.4109405075827466,0.00048005184263540026,1.2927983860360965
T401,49,C01,1.1,0.175,0.017194627643996,0.0159986002062239,0.0105640359789747,0.0024146880206604,0.0013379812748289,0.0094277146273319,0.0094759652353163,0.0094411530131262,0.0035722856482183,0.0013645096667483,-0.007766913016664099,0.5482942011032067,-0.0065226349709076,0.5922996457921291,-0.0011228829658484988,0.893707010456672,0.0011575976275579,1.479398422344144,2.65283919194002e-05,1.0198271772695717
T401,50,C01,1.1,0.19,0.0162425562998822,0.0180960449146842,0.0112469418878072,0.001139958239683,0.0009389223933806,0.0089813877599837,0.0104636457596036,0.0097410869769763,0.0024050895782944,0.0009590519147883,-0.007261168539898501,0.5529540790355049,-0.007632399155080599,0.5782283260754276,-0.0015058549108308995,0.8661098344907965,0.0012651313386113998,2.10980498633284,2.0129521407699917e-05,1.021438961888238
