Mach,alpha,n_rows,y_min,y_max,p_left_tail_samples_per_period,p_right_tail_samples_per_period,p_left_tail_n,p_right_tail_n,rho_left_tail_samples_per_period,rho_right_tail_samples_per_period,rho_left_tail_n,rho_right_tail_n,u_left_tail_samples_per_period,u_right_tail_samples_per_period,u_left_tail_n,u_right_tail_n,v_left_tail_samples_per_period,v_right_tail_samples_per_period,v_left_tail_n,v_right_tail_n,worst_tail_samples_per_period,tail_resolution_flag
1.6,0.1,4595,-800.0000000000128,800.0000000000128,,,0,0,,,0,0,3.0612524032576864,12.018568116463555,18,23,,4.272811758954423,0,9,3.0612524032576864,needs_attention
1.9,0.135,4418,-1999.9999999999343,1999.9999999999343,,85.98562472201895,0,16,,85.98562472201269,0,16,3.143899820012854,200.95168677211242,8,34,,145.15234646900078,0,25,3.143899820012854,needs_attention
1.9,0.1075,4418,-1999.9999999999343,1999.9999999999343,,35.57174632342895,0,10,,35.5717463234378,0,10,3.352564979735504,99.36101729355718,10,26,,61.030975935502205,0,18,3.352564979735504,needs_attention
1.7,0.175,4595,-800.0000000000128,800.0000000000128,,,0,0,,,0,0,4.0810596232740295,3.3719153859425703,8,13,,,0,0,3.3719153859425703,needs_attention
1.8,0.145,4418,-1725.1089132085467,1725.1089132085467,,104.76638339170555,0,18,,104.76638339172183,0,18,3.4137988792629708,227.6859805072172,8,37,,166.30243786216002,0,27,3.4137988792629708,needs_attention
1.7,0.1,4595,-800.0000000000128,800.0000000000128,,43.778416616247924,0,18,,43.77841661624786,0,18,3.4405535347266767,129.24460647237464,21,45,,69.00254936126629,0,26,3.4405535347266767,needs_attention
1.9,0.105,4418,-1999.9999999999343,1999.9999999999343,,31.838922580709013,0,10,,31.8389225807078,0,10,3.5189174413061055,92.86927096164814,10,26,,58.29680330739084,0,17,3.5189174413061055,needs_attention
1.8,0.11,4418,-1792.822162014802,1792.822162014802,,37.45824551915441,0,11,,37.458245519155604,0,11,3.561366696532959,100.95810680130144,10,28,,61.85528366103656,0,19,3.561366696532959,needs_attention
1.8,0.0725,4418,-1999.9999999999343,1999.9999999999343,,,0,0,,,0,0,3.58564722643362,40.6731381466484,12,20,,17.05850435457105,0,9,3.58564722643362,needs_attention
1.9,0.125,4418,-1999.9999999999343,1999.9999999999343,,62.228813579782,0,13,,62.228813579787605,0,13,3.696047085579096,152.12686361008986,9,31,,108.76508897859016,0,23,3.696047085579096,needs_attention
1.8,0.095,4418,-1973.5662293037856,1973.5662293037856,,23.847405272392876,0,9,,23.84740527239324,0,9,3.747458577932688,69.8964427510983,10,25,,38.351072604560265,0,14,3.747458577932688,needs_attention
1.9,0.095,4418,-1999.9999999999343,1999.9999999999343,,23.52700422010645,0,9,,23.527004220108417,0,9,3.854648977297805,72.73245130341932,10,23,,40.74914233615862,0,15,3.854648977297805,needs_attention
1.8,0.125,4418,-1710.149095647885,1710.149095647885,,58.03789172573949,0,14,,58.03789172575258,0,14,3.8640525606438247,145.61438092796996,9,32,,93.98274726618703,0,22,3.8640525606438247,needs_attention
1.8,0.1575,4418,-1812.7193490293464,1812.7193490293464,,145.78411903465437,0,20,,145.78411903470393,0,20,3.886364702002038,312.84491222627213,8,40,,236.42615196832807,0,30,3.886364702002038,needs_attention
1.8,0.1,4418,-1900.124623968229,1900.124623968229,,26.94676170246688,0,9,,26.94676170246991,0,9,3.930136229031098,77.67904998031342,10,26,,46.08311294054445,0,16,3.930136229031098,needs_attention
1.8,0.1275,4418,-1704.3642998150772,1704.3642998150772,,60.90031797582633,0,15,,60.90031797583931,0,15,3.940369632392953,150.71858970649964,9,33,,103.8292747000393,0,23,3.940369632392953,needs_attention
1.8,0.0825,4418,-1999.9999999999343,1999.9999999999343,,,0,0,,,0,0,3.944919028693808,50.868172051477224,12,22,,24.30547663912119,0,11,3.944919028693808,needs_attention
1.8,0.0975,4418,-1934.8746853254247,1934.8746853254247,,23.92741067329546,0,9,,23.927410673295213,0,9,3.991591051316646,74.92658805791328,10,25,,42.11487700108893,0,16,3.991591051316646,needs_attention
1.8,0.1175,4418,-1740.6990755180082,1740.6990755180082,,45.91685785673584,0,13,,45.91685785673204,0,13,4.082885927779084,121.634164925046,10,30,,77.93509472109687,0,21,4.082885927779084,needs_attention
1.8,0.115,4418,-1755.8160242072636,1755.8160242072636,,43.658227685424734,0,12,,43.658227685431875,0,12,4.099384529578848,114.39364805198544,10,30,,72.2806896547879,0,19,4.099384529578848,needs_attention
1.8,0.1025,4418,-1868.7911949512088,1868.7911949512088,,28.659995869416154,0,10,,28.65999586941964,0,10,4.138775403428459,85.70022578839401,10,27,,48.1773000031356,0,17,4.138775403428459,needs_attention
1.9,0.09,4418,-1999.9999999999343,1999.9999999999343,,19.404763130354496,0,8,,19.40476313035012,0,8,4.14697635205653,62.8525765900066,10,23,,35.27038941421036,0,14,4.14697635205653,needs_attention
1.9,0.1225,4418,-1999.9999999999343,1999.9999999999343,,56.63773884585385,0,13,,56.63773884585998,0,13,4.189656009603669,146.5512171203501,9,30,,97.956206679567,0,22,4.189656009603669,needs_attention
1.9,0.1425,4418,-1999.9999999999343,1999.9999999999343,,107.67801452149156,0,17,,107.67801452152557,0,17,4.199099619549549,243.1450548944264,8,36,,179.67436017678472,0,27,4.199099619549549,needs_attention
1.9,0.08,4418,-1999.9999999999343,1999.9999999999343,,,0,0,,,0,0,4.269200173305319,47.99828438146834,11,20,,24.078028586357746,0,11,4.269200173305319,needs_attention
1.8,0.1075,4418,-1814.9836696693983,1814.9836696693983,,33.77348030093566,0,11,,33.77348030093546,0,11,4.279126915799309,94.7155603417843,10,28,,57.04752015780446,0,17,4.279126915799309,needs_attention
1.8,0.0875,4418,-1999.9999999999343,1999.9999999999343,,17.469360767480957,0,8,,17.469360767481575,0,8,4.328740471469656,56.58375418234,11,23,,30.070337410417295,0,13,4.328740471469656,needs_attention
1.9,0.0925,4418,-1999.9999999999343,1999.9999999999343,,22.154090863320018,0,8,,22.154090863319894,0,8,4.331588187798495,67.66608803324483,10,23,,38.92372229508308,0,14,4.331588187798495,needs_attention
1.8,0.1375,4418,-1702.6043160596205,1702.6043160596205,,82.4163721605963,0,16,,82.41637216063518,0,16,4.372183314117082,190.8276515175545,8,35,,136.27795693215177,0,25,4.372183314117082,needs_attention
1.9,0.11,4418,-1999.9999999999343,1999.9999999999343,,37.56638626296141,0,11,,37.56638626296625,0,11,4.373696091836447,106.17424489713099,10,28,,68.76635234887142,0,19,4.373696091836447,needs_attention
1.9,0.1375,4418,-1999.9999999999343,1999.9999999999343,,93.79994278641136,0,16,,93.79994278647604,0,16,4.375773582162139,214.07950081501158,8,34,,155.87099149786502,0,25,4.375773582162139,needs_attention
