alpha,Mach,ci_pinn_stage0,ci_reference_anchor_interp,ci_abs_err_anchor_interp
0.5013333333333334,0.5,0.26948133,0.269825913196746,0.00034458208674537083
0.5036666666666667,0.5,0.26749292,0.26777624006264866,0.00028331990235508364
0.506,0.5,0.26550093,0.26572656692855134,0.0002256339966513199
0.5083333333333334,0.5,0.26350513,0.26367689379445386,0.0001717627882130146
0.5106666666666667,0.5,0.26150554,0.26162722066035654,0.00012167647471811316
0.513,0.5,0.25950187,0.25957754752625917,7.567307939027046e-05
0.5153333333333334,0.5,0.257494,0.25752787439216174,3.387181151903729e-05
0.5176666666666667,0.5,0.25548175,0.2554782012580644,3.5485149610936517e-06
0.52,0.5,0.25346494,0.2534285281239671,3.640908611590721e-05
0.5223333333333334,0.5,0.2514434,0.25137885498986967,6.453108801118823e-05
0.5246666666666667,0.5,0.24941711,0.2493291818557723,8.792942180796404e-05
0.527,0.5,0.24738581,0.24727950872167495,0.00010630606428238543
0.5293333333333333,0.5,0.24534945,0.2452298355875776,0.00011961631195089861
0.5316666666666667,0.5,0.2433079,0.24318016245348018,0.00012774095552403608
0.534,0.5,0.24126108,0.24113048931938283,0.0001305905880344682
0.5363333333333333,0.5,0.23920879,0.23908081618528548,0.00012797149438675826
0.5386666666666667,0.5,0.23715098,0.23703114305118805,0.00011983897109740793
0.541,0.5,0.23508757,0.2349814699170907,0.00010610361119908762
0.5433333333333333,0.5,0.23301847,0.23293179678299336,8.667600772471751e-05
0.5456666666666667,0.5,0.23094372,0.23088212364889593,6.16008641579624e-05
0.548,0.5,0.22886321,0.22883245051479859,3.075897120910498e-05
0.5503333333333333,0.5,0.22677688,0.22683185192310196,5.496891700607076e-05
0.5526666666666668,0.5,0.22468467,0.22512570058580963,0.00044103001829712274
0.555,0.5,0.22258669,0.2234195492485174,0.000832857868970277
0.5573333333333333,0.5,0.22048284,0.22171339791122516,0.0012305567771538073
0.5596666666666668,0.5,0.21837321,0.22000724657393284,0.0016340373358804672
0.562,0.5,0.21625789,0.2183010952366406,0.00204321013818326
0.5643333333333334,0.5,0.2141368,0.21659494389934836,0.002458149689868072
0.5666666666666668,0.5,0.2120101,0.21488879256205604,0.0028786920781616876
0.5690000000000001,0.5,0.20987783,0.21318264122476377,0.0033048075007418576
0.5713333333333334,0.5,0.20774014,0.21147648988747153,0.003736346945996616
0.5736666666666667,0.5,0.2055972,0.2097703385501793,0.0041731315999916085
0.5760000000000001,0.5,0.20344914,0.20806418721288697,0.0046150422534372015
0.5783333333333334,0.5,0.20129608,0.20635803587559473,0.005061959697044011
0.5806666666666667,0.5,0.19913822,0.2046518845383025,0.005513660413394045
0.5830000000000001,0.5,0.19697578,0.20294573320101017,0.005969950687391701
0.5853333333333334,0.5,0.19480903,0.20123958186371793,0.006430547396974462
0.5876666666666667,0.5,0.1926382,0.1995334305264257,0.0068952270247243375
0.5900000000000001,0.5,0.19046362,0.19782727918913337,0.007363661745094979
0.5923333333333334,0.5,0.18828553,0.1961211278518411,0.00783559823834623
0.5946666666666667,0.5,0.18610422,0.19441497651454887,0.008310753382415381
0.5970000000000001,0.5,0.18392015,0.19270882517725657,0.008788680142466532
0.5993333333333334,0.5,0.18173365,0.1910026738399643,0.009269020890631113
0.6016666666666667,0.5,0.17954512,0.18929652250267207,0.00975140309787928
0.604,0.5,0.17735498,0.18759037116537983,0.010235394630536382
0.6063333333333334,0.5,0.17516366,0.1858842198280875,0.010720563354927715
0.6086666666666667,0.5,0.17297162,0.18417806849079527,0.011206447335056435
0.611,0.5,0.17077938,0.18247191715350303,0.01169253993144187
0.6133333333333334,0.5,0.16858743,0.1807657658162107,0.012178334504603344
0.6156666666666667,0.5,0.16639632,0.17905961447891844,0.012663294612738019
0.618,0.5,0.16420671,0.1773534631416262,0.013146749703592142
0.6203333333333334,0.5,0.16201901,0.1756473118043339,0.013628297445813398
0.6226666666666667,0.5,0.15983394,0.17394116046704164,0.014107222583664564
0.625,0.5,0.15765202,0.1722350091297494,0.014582988675342662
0.6273333333333334,0.5,0.155474,0.17052885779245708,0.015054850662787889
0.6296666666666667,0.5,0.1533005,0.16882270645516484,0.015522212499552657
0.632,0.5,0.15113214,0.1671165551178726,0.015984418534544353
0.6343333333333333,0.5,0.14896978,0.16541040378058036,0.01644061940157493
0.6366666666666667,0.5,0.14681387,0.163704252443288,0.016890382966969653
0.639,0.5,0.1446653,0.16199810110599577,0.01733280025989592
0.6413333333333333,0.5,0.1425248,0.16029194976870353,0.017767156024616315
0.6436666666666667,0.5,0.140393,0.15858579843141124,0.018192794610038254
0.646,0.5,0.13827077,0.156879647094119,0.018608881551134993
0.6483333333333333,0.5,0.13615881,0.15517349575682673,0.019014686691007948
0.6506666666666667,0.5,0.13405783,0.1534673444195344,0.019409509675080983
0.653,0.5,0.13196866,0.15176119308224217,0.019792530939488573
0.6553333333333333,0.5,0.12989198,0.15005504174494994,0.02016306503081572
0.6576666666666667,0.5,0.12782863,0.1483488904076576,0.020520262582874288
0.66,0.5,0.12577932,0.14664273907036537,0.020863423241088336
0.6623333333333333,0.5,0.12374488,0.1449365877330731,0.0211917050898503
0.6646666666666667,0.5,0.12172591,0.1432304363957808,0.021504526983873617
0.667,0.5,0.119723216,0.14152428505848857,0.021801069359292713
