final_reference_id,Mach,alpha,cr,ci,omega_i,reference_subset,mode_npz_path,mode_index_in_npz,n_coordinates,y_min,y_max,display_limit,min_abs_U_minus_c
M1.000000_a0.29000000,1.0,0.29,0.1391874590368678,0.040290999984792,0.0116843899955896,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,48,3801,-571.2564226749153,93.42647286531181,410.4044393529015,0.041441617157567355
M1.000000_a0.29500000,1.0,0.295,0.1420746815122738,0.0373967867420934,0.0110320520889175,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,49,3801,-609.1357223842097,91.17703413950957,436.5866113119658,0.038011847554546625
M1.000000_a0.30000000,1.0,0.3,0.1448656309735745,0.0345137362903051,0.0103541208870915,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,50,3801,-653.2385189354133,89.03123728643925,469.27812295632515,0.03474699397613458
M1.000000_a0.30500000,1.0,0.305,0.1475665612791113,0.0316415687502149,0.0096506784688155,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,51,3801,-705.2325193448258,86.98161847386282,505.403554440785,0.03166902654482812
M1.000000_a0.31000000,1.0,0.31,0.1501830911082068,0.0287800107969297,0.0089218033470482,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,52,3801,-767.4345715830618,85.02148021931463,551.2403047936103,0.028809268902654433
M1.000000_a0.31500000,1.0,0.315,0.1527202937243574,0.0259287963122211,0.0081675708383496,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,53,3801,-843.161566616228,83.14476242413681,604.1280381247736,0.026210908001121073
M1.000000_a0.32000000,1.0,0.32,0.1551827691540694,0.0230876654706422,0.0073880529506055,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,54,3801,-937.33717257664,81.34599110639408,673.1306951488012,0.023931188221638786
M1.000000_a0.32500000,1.0,0.325,0.1575747050177987,0.0202563643575863,0.0065833184162155,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,55,3801,-1057.599778364774,79.6201774478435,757.5550444120713,0.022041567229470153
M1.000000_a0.33000000,1.0,0.33,0.1598999343016857,0.0174346473149311,0.0057534336139272,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,56,3801,-1216.4746026040616,77.96278170748084,873.3204795974259,0.020622680813856802
M1.000000_a0.33500000,1.0,0.335,0.1621619650587023,0.0146222731676132,0.0048984615111504,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,57,3801,-1436.0274725758986,76.3696488410728,1028.236984649554,0.01834193203678164
M1.000000_a0.34000000,1.0,0.34,0.1643640295114108,0.0118190064873413,0.004018462205696,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,58,3801,-1759.0880788464838,74.83697110717586,1262.3772655179264,0.014777883206854947
