model,final_reference_id,alpha,role,is_spectral_anchor,is_S4M2_modal_anchor,n_domain,n_amplitude_mask,cr_reference,cr_prediction,cr_abs_error,ci_reference,ci_prediction,ci_abs_error,kappa_nrmse,q_nrmse,kappa_max_abs,q_max_abs,log_amp_rmse,amplitude_rel_l2,phase_rmse,pressure_rel_l2,pressure_overlap_error
S4M2,M1.900000_a0.15500000,0.155,off_anchor,False,False,3251,3251,0.497019478959949,0.49580031633377075,0.0012191626261782718,0.0143067940524762,0.017777256667613983,0.0034704626151377833,0.05584723488147106,0.012025961130698818,0.006233970275379707,0.00988333691530724,0.008126107580280349,0.007142535547096708,0.41327242410382076,0.0723100998266666,0.001230659763264752
S4M2,M1.900000_a0.16000000,0.16,off_anchor,False,False,3254,3254,0.498417882627838,0.49772974848747253,0.0006881341403654484,0.0133273114657672,0.014971568249166012,0.0016442567833988113,0.04097001103360167,0.006497825536715256,0.006521524299719367,0.006937876418177461,0.005653122722692921,0.004337004179909618,0.4127161979724259,0.03379407765409937,0.00030236514401449366
S4M2,M1.900000_a0.16500000,0.165,S4M2_modal_anchor,True,True,3257,3257,0.4997828810399796,0.49978139996528625,1.4810746933324737e-06,0.0123143262874896,0.012314319610595703,6.676893897147873e-09,0.03315576732879132,0.003648817204037262,0.006328594234782011,0.006530264286620681,0.008033947696996191,0.00342659139657234,0.4145958343260949,0.008236954258483644,1.073041088617277e-05
S4M2,M1.900000_a0.17000000,0.17,off_anchor,False,False,3260,3260,0.5011157862324153,0.5018521547317505,0.0007363684993352271,0.0112701314212974,0.01004111673682928,0.0012290146844681198,0.03238378928402397,0.005870830600721543,0.005724825577366254,0.006597531600220252,0.011236299708376845,0.0047796565415158,0.41813782135479044,0.04092204654494605,0.00027910482572279793
S4M2,M1.900000_a0.17500000,0.175,off_anchor,False,False,3264,3264,0.5024178582709946,0.5037968158721924,0.0013789576011977722,0.0101968564478816,0.008246127516031265,0.0019507289318503353,0.034271984433242954,0.00841149847077265,0.006400347338027931,0.0077864739559332374,0.013528665678510965,0.006294557123760151,0.4217182235459139,0.06674403349595957,0.0007975369636209484
S4M2,M1.900000_a0.18000000,0.18,off_anchor,False,False,3266,3266,0.5036903056394091,0.5054670572280884,0.0017767515886792928,0.009096481823104,0.006908205803483725,0.0021882760196202753,0.03503408878519102,0.009663291356570253,0.007425957247752153,0.00861636496058199,0.014220750042821311,0.006981186578268155,0.26015360262116827,0.08103631898857057,0.0011991992695559173
S4M2,M1.900000_a0.18500000,0.185,off_anchor,False,False,3270,3270,0.5049342833085814,0.5067611932754517,0.0018269099668702937,0.0079708512569397,0.005946827586740255,0.0020240236701994443,0.03353815112741202,0.00941292834720576,0.008138055852251788,0.008670857001184806,0.013488793983954871,0.006724014297673065,0.25993323858213147,0.08207419856513107,0.0012465688483502824
S4M2,M1.900000_a0.19000000,0.19,off_anchor,False,False,3273,3273,0.5061508958929851,0.507656455039978,0.0015055591469929075,0.0068216808151174,0.005269018933176994,0.0015526618819404056,0.029984594769378675,0.007695394473582057,0.008510341627487737,0.0074333338315824005,0.011826750536519994,0.005533382570032845,0.2562162919821747,0.06846831551634734,0.0008855489881181011
S4M2,M1.900000_a0.19500000,0.195,off_anchor,False,False,3276,3276,0.5073411990251013,0.5082054138183594,0.0008642147932580446,0.0056505720007862,0.004793741274625063,0.0008568307261611367,0.025872367583252735,0.004739300112927714,0.008525027935360578,0.0048950003566895495,0.011323978113034344,0.003280537703279552,0.2235232641358068,0.039415806179569086,0.000314621188294395
S4M2,M1.900000_a0.20000000,0.2,S4M2_modal_anchor,True,True,3280,3280,0.5085061968756752,0.5085042715072632,1.925368412036832e-06,0.004459012725829,0.004459002986550331,9.739278669131102e-09,0.025237727646838733,0.0024664779411932404,0.008285840030006493,0.006590991473913327,0.015733648972062114,0.0027609620360449657,0.21928922526771186,0.00685249141448173,5.383759538846178e-06
S4M2,M1.900000_a0.20500000,0.205,off_anchor,False,False,3284,3284,0.5096468519455932,0.5086531043052673,0.0009937476403258927,0.0032484016832047,0.004220746923238039,0.000972345240033339,0.03184911546632658,0.006705071839407401,0.009203903279878647,0.00835118760970408,0.025270144150345477,0.0072031483678278,0.33030952739661024,0.06631408984560581,0.0006666177808208884
S4M2,M1.900000_a0.21000000,0.21,off_anchor,False,False,3287,3287,0.5107640788912239,0.5087261199951172,0.0020379588961066952,0.0020200312725903,0.00404908275231719,0.00202905147972689,0.044855214409134266,0.013336272783532924,0.012963586224117585,0.014391811531014653,0.03821171835319649,0.01256233638711793,0.11008917903241278,0.1421714214085087,0.0032172992902529396
S4M2,M1.900000_a0.21500000,0.215,off_anchor,False,False,3291,3291,0.51185864489249,0.5087600350379944,0.0030986098544956153,0.0007752887358164,0.003924304619431496,0.003149015883615096,0.062175683226592275,0.02109017543589923,0.01717789188066146,0.021964097363176394,0.05415414270439958,0.01969948215234975,0.17985162498150595,0.23299628577696987,0.008795200024959704
