alpha,Mach,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,blumen_target_available,seed_name,seed_cr_center,seed_ci_center,requested_cr_half_window,requested_ci_half_window,used_cr_half_window,used_ci_half_window,retry_index,shooting_cr,shooting_ci,shooting_omega_i,err_cr_abs,err_ci_abs,err_ci_rel,stage1_mismatch,stage2_mismatch,ln_p_start_right,spectral_success,mode_success,success,status,selection_metric,selection_metric_name,y_limit
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.1,0.03,0.1,0.03,0,0.14964192708333338,8.110721289866256e-06,1.4193762257265948e-06,,,,0.045594738525566815,3.865418435582958e-29,-5.025795552474524,True,True,True,validated,-0.06772837379501154,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.06,0.015,0.105,0.02625,1,0.23214680989583336,9.09186770592207e-06,1.591076848536362e-06,,,,0.04586551856868115,3.010119652302458e-21,-5.028415821292971,True,True,True,validated,-0.06771581593927187,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_04,0.26,0.07,0.015,0.03,0.02625,0.0525,1,0.3122778320312499,2.847147171585649e-05,4.982507550274886e-06,,,,0.0465371368834447,5.6916105113672546e-21,-5.039297677574326,True,True,True,validated,-0.06770161462754364,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_04,0.26,0.07,0.015,0.06,0.02625,0.105,1,0.31217529296874996,2.8518566743827162e-05,4.990749180169753e-06,,,,0.04663457516830437,6.082449280276289e-21,-5.039268173606307,True,True,True,validated,-0.0676967898083286,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_02,0.1,0.04,0.1,0.03,0.1,0.03,0,0.29954427083333346,1.669771472318673e-05,2.922100076557678e-06,,,,0.046728394049811044,2.8477878678478526e-28,-5.035570611931062,True,True,True,validated,-0.06768027801223264,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_02,0.1,0.04,0.06,0.015,0.105,0.02625,1,0.30729980468750007,7.248030598958336e-05,1.2684053548177087e-05,,,,0.04809702138064549,1.135959703518257e-28,-5.048626930343072,True,True,True,validated,-0.06766762923695731,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_02,0.1,0.04,0.1,0.06,0.1,0.06,0,0.2998046875000002,1.6744809751157407e-05,2.930341706452546e-06,,,,0.04699694875887781,1.093667689070153e-20,-5.03554873735878,True,True,True,validated,-0.06766689737180727,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.015,0.008,0.02625,0.014,1,0.10210693359375,7.778669945987659e-06,1.3612672405478401e-06,,,,0.046831368106890515,2.6448501091754837e-19,-5.022909763194929,True,True,True,validated,-0.06766621026460147,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.15,0.015,0.15,0.015,0,0.2995442708333335,1.795149739583334e-05,3.1415120442708345e-06,,,,0.047235473669962884,5.857504345963427e-23,-5.036080035301499,True,True,True,validated,-0.0676561778138977,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_02,0.1,0.04,0.06,0.06,0.105,0.105,1,0.3066324869791667,2.3809063946759267e-05,4.166586190682871e-06,,,,0.047789643216562275,7.134816769204089e-22,-5.038129936027108,True,True,True,validated,-0.06763432690311866,max_ci_fallback,1200.0
