point_id,Mach,eta,alpha,ci_seed,ci_final,ci_blumen,pinn_blumen_abs,gep_blumen_abs,pinn_blumen_rel,gep_blumen_rel,inside_blumen_support
P001_M0700_eta0600,0.7,0.6000000000000001,0.428485705712571,0.2180891141753582,0.2182489834255304,0.09857698175111468,0.11951213242424352,0.11967200167441572,1.2123736221300174,1.2139953927232359,True
P008_M0700_eta0631,0.7,0.63125,0.4508026695517674,0.1987004874587322,0.1996334495323549,0.09209734782050341,0.10660313963822879,0.10753610171185149,1.1575049896767602,1.1676351627566737,True
P002_M0700_eta0638,0.7,0.6375000000000001,0.4552660623196067,0.1957570121817543,0.1959502480938712,0.0905873298776175,0.10516968230413679,0.10536291821625371,1.1609756292212154,1.1631087742468826,True
P000_M0700_eta0669,0.7,0.6687500000000001,0.4775830261588031,0.1783091604761275,0.1777248064078394,0.0845764697838585,0.093732690692269,0.09314833662398089,1.1082596723628915,1.101350492188057,True
P001_M0700_eta0725,0.7,0.7250000000000001,0.5177535610693567,0.1456172041642369,0.1456714097589574,0.07448066253596622,0.07113654162827068,0.07119074722299118,0.9551008168585949,0.9558285976392011,True
P002_M0700_eta0781,0.7,0.78125,0.5579240959799101,0.1139233505064753,0.1144977498581548,0.061197139785863774,0.052726210720611524,0.05330061007229102,0.8615796572373634,0.8709657062208517,True
P000_M0700_eta0815,0.7,0.8150000000000001,0.5820264169262424,0.096546393370333,0.0961765652454612,0.055336601769580024,0.04120979160075297,0.040839963475881175,0.744711281194124,0.7380280351500003,True
P001_M0700_eta0860,0.7,0.8600000000000001,0.6141628448546852,0.0722515714441828,0.0721563006287352,0.04414005110567529,0.028111520338507515,0.028016249523059908,0.6368710419298333,0.6347126661903146,True
P002_M0700_eta0905,0.7,0.905,0.6462992727831279,0.0478372382900769,0.0485572215356941,0.029784720121982786,0.01805251816809411,0.018772501413711312,0.6060999765705485,0.6302728827677034,True
P000_M0700_eta0928,0.7,0.9275,0.6623674867473494,0.037024754602071,0.0369080491633253,0.022115502316452637,0.01490925228561836,0.014792546846872666,0.6741539067157769,0.6688768193100402,True
P001_M0700_eta0950,0.7,0.95,0.6784357007115707,0.0255207727300568,0.0252869788328062,0.015687523623926003,0.009833249106130797,0.009599455208880198,0.6268197162191684,0.6119165420244838,True
