split,Mach,s,alpha_neutral,alpha,distance_to_neutral,chart_s_low,chart_s_bulk,chart_s_neutral,chart_M_sonic,chart_M_mid,chart_M_high
train,1.05,0.05,0.3577136402581817,0.017885682012909087,0.95,True,False,False,True,False,False
train,1.05,0.1,0.3577136402581817,0.035771364025818174,0.9,True,False,False,True,False,False
train,1.05,0.2,0.3577136402581817,0.07154272805163635,0.8,False,True,False,True,False,False
train,1.05,0.35,0.3577136402581817,0.1251997740903636,0.65,False,True,False,True,False,False
train,1.05,0.5,0.3577136402581817,0.17885682012909085,0.5,False,True,False,True,False,False
train,1.05,0.65,0.3577136402581817,0.2325138661678181,0.35,False,True,False,True,False,False
train,1.05,0.78,0.3577136402581817,0.2790166394013817,0.21999999999999997,False,True,False,True,False,False
train,1.05,0.87,0.3577136402581817,0.3112108670246181,0.13,False,True,True,True,False,False
train,1.05,0.93,0.3577136402581817,0.332673685440109,0.06999999999999995,False,False,True,True,False,False
train,1.05,0.97,0.3577136402581817,0.34698223105043624,0.030000000000000027,False,False,True,True,False,False
train,1.05,0.985,0.3577136402581817,0.35234793565430894,0.015000000000000013,False,False,True,True,False,False
train,1.1,0.05,0.3475431977513993,0.017377159887569965,0.95,True,False,False,True,False,False
train,1.1,0.1,0.3475431977513993,0.03475431977513993,0.9,True,False,False,True,False,False
train,1.1,0.2,0.3475431977513993,0.06950863955027986,0.8,False,True,False,True,False,False
train,1.1,0.35,0.3475431977513993,0.12164011921298974,0.65,False,True,False,True,False,False
train,1.1,0.5,0.3475431977513993,0.17377159887569965,0.5,False,True,False,True,False,False
train,1.1,0.65,0.3475431977513993,0.22590307853840955,0.35,False,True,False,True,False,False
train,1.1,0.78,0.3475431977513993,0.27108369424609147,0.21999999999999997,False,True,False,True,False,False
train,1.1,0.87,0.3475431977513993,0.3023625820437174,0.13,False,True,True,True,False,False
train,1.1,0.93,0.3475431977513993,0.3232151739088014,0.06999999999999995,False,False,True,True,False,False
train,1.1,0.97,0.3475431977513993,0.33711690181885734,0.030000000000000027,False,False,True,True,False,False
train,1.1,0.985,0.3475431977513993,0.3423300497851283,0.015000000000000013,False,False,True,True,False,False
train,1.15,0.05,0.3386087508714479,0.0169304375435724,0.95,True,False,False,True,True,False
train,1.15,0.1,0.3386087508714479,0.0338608750871448,0.9,True,False,False,True,True,False
train,1.15,0.2,0.3386087508714479,0.0677217501742896,0.8,False,True,False,True,True,False
train,1.15,0.35,0.3386087508714479,0.11851306280500677,0.65,False,True,False,True,True,False
train,1.15,0.5,0.3386087508714479,0.16930437543572396,0.5,False,True,False,True,True,False
train,1.15,0.65,0.3386087508714479,0.22009568806644117,0.35,False,True,False,True,True,False
train,1.15,0.78,0.3386087508714479,0.2641148256797294,0.21999999999999997,False,True,False,True,True,False
train,1.15,0.87,0.3386087508714479,0.2945896132581597,0.13,False,True,True,True,True,False
train,1.15,0.93,0.3386087508714479,0.3149061383104466,0.06999999999999995,False,False,True,True,True,False
train,1.15,0.97,0.3386087508714479,0.3284504883453045,0.030000000000000027,False,False,True,True,True,False
train,1.15,0.985,0.3386087508714479,0.3335296196083762,0.015000000000000013,False,False,True,True,True,False
train,1.2,0.05,0.3273167408651279,0.016365837043256396,0.95,True,False,False,True,True,False
train,1.2,0.1,0.3273167408651279,0.03273167408651279,0.9,True,False,False,True,True,False
train,1.2,0.2,0.3273167408651279,0.06546334817302558,0.8,False,True,False,True,True,False
train,1.2,0.35,0.3273167408651279,0.11456085930279476,0.65,False,True,False,True,True,False
train,1.2,0.5,0.3273167408651279,0.16365837043256395,0.5,False,True,False,True,True,False
train,1.2,0.65,0.3273167408651279,0.21275588156233316,0.35,False,True,False,True,True,False
train,1.2,0.78,0.3273167408651279,0.2553070578747998,0.21999999999999997,False,True,False,True,True,False
train,1.2,0.87,0.3273167408651279,0.2847655645526613,0.13,False,True,True,True,True,False
train,1.2,0.93,0.3273167408651279,0.30440456900456897,0.06999999999999995,False,False,True,True,True,False
train,1.2,0.97,0.3273167408651279,0.31749723863917406,0.030000000000000027,False,False,True,True,True,False
train,1.2,0.985,0.3273167408651279,0.322406989752151,0.015000000000000013,False,False,True,True,True,False
train,1.25,0.05,0.3168146964786124,0.01584073482393062,0.95,True,False,False,True,True,False
train,1.25,0.1,0.3168146964786124,0.03168146964786124,0.9,True,False,False,True,True,False
train,1.25,0.2,0.3168146964786124,0.06336293929572248,0.8,False,True,False,True,True,False
train,1.25,0.35,0.3168146964786124,0.11088514376751432,0.65,False,True,False,True,True,False
train,1.25,0.5,0.3168146964786124,0.1584073482393062,0.5,False,True,False,True,True,False
train,1.25,0.65,0.3168146964786124,0.20592955271109806,0.35,False,True,False,True,True,False
train,1.25,0.78,0.3168146964786124,0.24711546325331765,0.21999999999999997,False,True,False,True,True,False
train,1.25,0.87,0.3168146964786124,0.2756287859363928,0.13,False,True,True,True,True,False
train,1.25,0.93,0.3168146964786124,0.2946376677251095,0.06999999999999995,False,False,True,True,True,False
train,1.25,0.97,0.3168146964786124,0.307310255584254,0.030000000000000027,False,False,True,True,True,False
train,1.25,0.985,0.3168146964786124,0.31206247603143317,0.015000000000000013,False,False,True,True,True,False
